account_id,fiscal_quarter,csat_score,nps_score
A0015,2026-Q1,4,38
A0016,2025-Q1,3,-10
A0016,2025-Q2,3,19
A0016,2025-Q3,4,26
A0016,2025-Q4,5,90
A0016,2026-Q1,4,40
A0017,2025-Q1,4,32
A0017,2025-Q2,3,-10
A0017,2025-Q3,4,37
A0017,2025-Q4,4,16
A0017,2026-Q1,5,73
A0018,2025-Q1,3,19
A0018,2025-Q2,3,-17
A0018,2025-Q3,4,32
A0018,2025-Q4,3,-11
A0018,2026-Q1,4,41
A0019,2025-Q1,4,39
A0019,2025-Q2,4,32
A0019,2025-Q3,3,11
A0019,2025-Q4,4,38
A0019,2026-Q1,2,-20
A0020,2025-Q1,5,53
A0020,2025-Q2,4,36
A0020,2025-Q3,4,37
A0020,2025-Q4,4,31
A0020,2026-Q1,4,26
A0021,2025-Q1,4,22
A0021,2025-Q2,4,17
A0021,2025-Q3,4,20
A0021,2025-Q4,5,88
A0021,2026-Q1,4,17
A0022,2025-Q1,3,-5
A0022,2025-Q2,2,-55
A0022,2025-Q3,3,19
A0022,2025-Q4,4,37
A0022,2026-Q1,3,10
A0023,2025-Q1,5,77
A0023,2025-Q2,3,-4
A0023,2025-Q3,4,30
A0023,2025-Q4,4,52
A0023,2026-Q1,5,73
A0024,2025-Q1,4,34
A0024,2025-Q2,5,50
A0024,2025-Q3,4,57
A0024,2025-Q4,3,-3
A0024,2026-Q1,4,39
A0025,2025-Q1,4,25
A0025,2025-Q2,4,51
A0025,2025-Q3,4,49
A0025,2025-Q4,4,20
A0025,2026-Q1,4,37
A0026,2025-Q1,4,36
A0026,2025-Q2,4,17
A0026,2025-Q3,2,-40
A0026,2025-Q4,3,20
A0026,2026-Q1,4,14
A0027,2025-Q1,3,3
A0027,2025-Q2,4,37
A0027,2025-Q3,3,-6
A0027,2025-Q4,3,17
A0027,2026-Q1,4,41
A0028,2025-Q1,3,17
A0028,2025-Q2,4,28
A0028,2025-Q3,3,-13
A0028,2025-Q4,4,28
A0028,2026-Q1,5,91
A0029,2025-Q1,3,13
A0029,2025-Q2,4,15
A0029,2025-Q3,3,4
A0029,2025-Q4,3,-5
A0029,2026-Q1,3,-10
A0030,2025-Q1,4,53
A0031,2025-Q1,3,16
A0031,2025-Q2,2,-48
A0031,2025-Q3,3,11
A0031,2025-Q4,4,41
A0031,2026-Q1,3,11
A0032,2025-Q1,3,14
A0032,2025-Q2,2,-34
A0032,2025-Q3,3,11
A0032,2025-Q4,3,13
A0032,2026-Q1,4,34
A0033,2025-Q1,4,21
A0033,2025-Q2,4,40
A0033,2025-Q3,4,46
A0033,2025-Q4,4,19
A0033,2026-Q1,4,17
A0034,2025-Q1,3,7
A0034,2025-Q2,4,21
A0034,2025-Q3,3,-20
A0034,2025-Q4,4,50
A0034,2026-Q1,3,4
A0035,2025-Q1,4,40
A0035,2025-Q2,3,21
A0035,2025-Q3,3,14
A0035,2025-Q4,4,31
A0035,2026-Q1,4,35
A0036,2025-Q1,3,22
A0036,2025-Q2,3,-10
A0036,2025-Q3,3,18
A0037,2025-Q1,2,-17
A0037,2025-Q2,4,46
A0037,2025-Q3,5,59
A0037,2025-Q4,3,-4
A0037,2026-Q1,4,50
A0038,2025-Q1,3,12
A0038,2025-Q2,5,71
A0038,2025-Q3,4,34
A0038,2025-Q4,5,49
A0038,2026-Q1,3,-10
A0039,2025-Q1,4,33
A0039,2025-Q2,4,25
A0039,2025-Q3,3,-20
A0039,2025-Q4,4,55
A0039,2026-Q1,2,-47
A0040,2025-Q1,3,21
A0040,2025-Q2,3,1
A0041,2025-Q1,4,31
A0041,2025-Q2,3,4
A0041,2025-Q3,4,17
A0041,2025-Q4,4,57
A0041,2026-Q1,3,20
A0042,2025-Q1,4,27
A0042,2025-Q2,4,20
A0042,2025-Q3,4,24
A0042,2025-Q4,3,-15
A0042,2026-Q1,4,50
A0043,2025-Q1,3,-18
A0043,2025-Q2,4,40
A0043,2025-Q3,4,14
A0043,2025-Q4,4,52
A0043,2026-Q1,3,21
A0044,2025-Q1,4,40
A0044,2025-Q2,4,35
A0044,2025-Q3,2,-39
A0044,2025-Q4,3,-22
A0044,2026-Q1,3,17
A0045,2025-Q1,4,53
A0045,2025-Q2,4,55
A0045,2025-Q3,4,50
A0045,2025-Q4,3,-1
A0045,2026-Q1,3,15
A0046,2025-Q1,5,83
A0046,2025-Q2,4,46
A0046,2025-Q3,3,0
A0046,2025-Q4,3,18
A0046,2026-Q1,3,11
A0047,2025-Q1,4,56
A0047,2025-Q2,2,-44
A0047,2025-Q3,3,1
A0047,2025-Q4,3,16
A0048,2025-Q1,4,55
A0048,2025-Q2,2,-22
A0048,2025-Q3,4,34
A0048,2025-Q4,4,14
A0048,2026-Q1,3,-5
A0049,2025-Q1,4,41
A0049,2025-Q2,4,33
A0049,2025-Q3,3,-13
A0049,2025-Q4,3,5
A0049,2026-Q1,4,17
A0050,2025-Q1,3,-12
A0050,2025-Q2,4,30
A0050,2025-Q3,4,41
A0050,2025-Q4,3,21
A0050,2026-Q1,3,9
A0051,2025-Q1,4,31
A0051,2025-Q2,4,17
A0051,2025-Q3,4,42
A0051,2025-Q4,4,54
A0051,2026-Q1,3,8
A0052,2025-Q1,3,-14
A0052,2025-Q2,4,21
A0052,2025-Q3,4,16
A0052,2025-Q4,3,-4
A0052,2026-Q1,2,-34
A0053,2025-Q1,4,36
A0053,2025-Q2,3,1
A0053,2025-Q3,3,-21
A0053,2025-Q4,4,33
A0053,2026-Q1,3,-19
A0054,2025-Q1,2,-56
A0054,2025-Q2,3,-3
A0054,2025-Q3,4,32
A0054,2025-Q4,3,8
A0054,2026-Q1,2,-23
A0055,2025-Q1,4,23
A0055,2025-Q2,4,54
A0055,2025-Q3,4,35
A0055,2025-Q4,4,20
A0055,2026-Q1,4,28
A0056,2025-Q1,4,49
A0056,2025-Q2,3,16
A0056,2025-Q3,3,19
A0056,2025-Q4,3,10
A0056,2026-Q1,5,74
A0057,2025-Q1,3,-20
A0057,2025-Q2,3,-18
A0057,2025-Q3,4,17
A0057,2025-Q4,3,11
A0057,2026-Q1,3,-1
A0058,2025-Q1,4,37
A0058,2025-Q2,2,-15
A0058,2025-Q3,3,-13
A0058,2025-Q4,3,12
A0058,2026-Q1,5,62
A0059,2025-Q1,3,-11
A0059,2025-Q2,3,11
A0059,2025-Q3,3,-3
A0059,2025-Q4,5,61
A0059,2026-Q1,3,-17
A0060,2025-Q1,5,72
A0060,2025-Q2,3,13
A0060,2025-Q3,3,-13
A0060,2025-Q4,3,-21
A0060,2026-Q1,3,15
A0061,2025-Q1,4,38
A0061,2025-Q2,4,56
A0061,2025-Q3,2,-57
A0061,2025-Q4,4,41
A0061,2026-Q1,4,24
A0062,2025-Q1,3,-21
A0062,2025-Q2,4,23
A0062,2025-Q3,3,10
A0062,2025-Q4,2,-31
A0062,2026-Q1,3,-10
A0063,2025-Q1,4,33
A0063,2025-Q2,4,25
A0063,2025-Q3,4,41
A0063,2025-Q4,3,15
A0063,2026-Q1,4,34
A0064,2025-Q1,4,33
A0064,2025-Q2,4,32
A0064,2025-Q3,3,-17
A0064,2025-Q4,4,48
A0064,2026-Q1,4,26
A0065,2025-Q1,4,36
A0065,2025-Q2,4,38
A0065,2025-Q3,4,47
A0065,2025-Q4,3,16
A0065,2026-Q1,3,-15
A0066,2025-Q1,3,-11
A0066,2025-Q2,3,11
A0066,2025-Q3,2,-42
A0066,2025-Q4,4,39
A0066,2026-Q1,4,38
A0067,2025-Q1,2,-31
A0067,2025-Q2,3,-4
A0067,2025-Q3,4,22
A0067,2025-Q4,4,44
A0067,2026-Q1,2,-42
A0068,2025-Q1,3,10
A0068,2025-Q2,4,33
A0068,2025-Q3,4,37
A0068,2025-Q4,2,-31
A0068,2026-Q1,4,13
A0069,2025-Q1,2,-55
A0069,2025-Q2,4,25
A0069,2025-Q3,5,88
A0069,2025-Q4,3,11
A0069,2026-Q1,4,28
A0070,2025-Q1,4,22
A0070,2025-Q2,3,21
A0070,2025-Q3,4,34
A0070,2025-Q4,3,-6
A0070,2026-Q1,3,-7
A0071,2025-Q1,4,15
A0071,2025-Q2,3,5
A0071,2025-Q3,5,90
A0071,2025-Q4,3,3
A0071,2026-Q1,3,1
A0072,2025-Q1,3,10
A0072,2025-Q2,4,46
A0072,2025-Q3,4,33
A0072,2025-Q4,3,-12
A0072,2026-Q1,4,26
A0073,2025-Q1,4,55
A0073,2025-Q2,3,10
A0073,2025-Q3,4,14
A0073,2025-Q4,4,15
A0073,2026-Q1,4,54
A0074,2025-Q1,4,24
A0074,2025-Q2,3,18
A0074,2025-Q3,4,41
A0074,2025-Q4,4,21
A0074,2026-Q1,2,-36
A0075,2025-Q1,5,87
A0075,2025-Q2,3,15
A0075,2025-Q3,4,20
A0075,2025-Q4,4,42
A0075,2026-Q1,4,18
A0076,2025-Q1,3,3
A0076,2025-Q2,3,21
A0076,2025-Q3,4,57
A0076,2025-Q4,2,-27
A0077,2025-Q1,3,-12
A0077,2025-Q2,3,-10
A0077,2025-Q3,4,13
A0077,2025-Q4,4,50
A0077,2026-Q1,4,52
A0078,2025-Q1,4,24
A0078,2025-Q2,4,26
A0078,2025-Q3,2,-40
A0078,2025-Q4,3,-16
A0078,2026-Q1,5,59
A0079,2025-Q1,4,48
A0079,2025-Q2,2,-37
A0079,2025-Q3,4,28
A0079,2025-Q4,4,18
A0079,2026-Q1,3,-11
A0080,2025-Q1,3,8
A0080,2025-Q2,2,-35
A0080,2025-Q3,4,25
A0080,2025-Q4,4,47
A0080,2026-Q1,4,56
A0081,2025-Q1,4,38
A0081,2025-Q2,4,38
A0081,2025-Q3,4,32
A0081,2025-Q4,2,-23
A0081,2026-Q1,3,15
A0082,2025-Q1,3,20
A0082,2025-Q2,3,-18
A0082,2025-Q3,3,-11
A0082,2025-Q4,4,24
A0082,2026-Q1,3,-17
A0083,2025-Q1,4,31
A0083,2025-Q2,3,1
A0083,2025-Q3,4,22
A0083,2025-Q4,5,60
A0083,2026-Q1,3,-20
A0084,2025-Q1,3,-3
A0084,2025-Q2,4,56
A0084,2025-Q3,2,-46
A0084,2025-Q4,4,49
A0084,2026-Q1,3,-10
A0085,2025-Q1,4,44
A0085,2025-Q2,3,21
A0085,2025-Q3,3,1
A0085,2025-Q4,4,49
A0085,2026-Q1,4,13
A0086,2025-Q1,3,-8
A0086,2025-Q2,3,-3
A0086,2025-Q3,3,-8
A0086,2025-Q4,3,13
A0086,2026-Q1,4,27
A0087,2025-Q1,3,0
A0087,2025-Q2,3,-6
A0087,2025-Q3,4,34
A0087,2025-Q4,4,28
A0087,2026-Q1,4,15
A0088,2025-Q1,3,17
A0088,2025-Q2,5,91
A0088,2025-Q3,5,76
A0088,2025-Q4,3,-4
A0088,2026-Q1,3,-4
A0089,2025-Q1,3,-16
A0089,2025-Q2,3,14
A0089,2025-Q3,3,-21
A0090,2025-Q1,2,-47
A0090,2025-Q2,3,-7
A0090,2025-Q3,4,27
A0090,2025-Q4,3,12
A0090,2026-Q1,3,-3
A0091,2025-Q1,3,-17
A0091,2025-Q2,4,36
A0091,2025-Q3,3,18
A0091,2025-Q4,4,36
A0091,2026-Q1,4,18
A0092,2025-Q1,3,6
A0092,2025-Q2,4,57
A0092,2025-Q3,4,37
A0092,2025-Q4,3,-1
A0092,2026-Q1,4,53
A0093,2025-Q1,4,24
A0093,2025-Q2,3,17
A0093,2025-Q3,4,41
A0093,2025-Q4,4,37
A0093,2026-Q1,4,15
A0094,2025-Q1,3,-2
A0094,2025-Q2,3,-10
A0094,2025-Q3,4,24
A0094,2025-Q4,3,-21
A0094,2026-Q1,3,19
A0095,2025-Q1,3,10
A0095,2025-Q2,4,40
A0095,2025-Q3,3,-6
A0095,2025-Q4,3,-22
A0095,2026-Q1,3,3
A0096,2025-Q1,3,-10
A0096,2025-Q2,4,43
A0096,2025-Q3,3,-1
A0096,2025-Q4,4,15
A0096,2026-Q1,2,-57
A0097,2025-Q1,4,38
A0097,2025-Q2,5,60
A0097,2025-Q3,4,32
A0097,2025-Q4,5,70
A0097,2026-Q1,4,13
A0098,2025-Q1,3,-4
A0098,2025-Q2,4,25
A0099,2025-Q1,2,-37
A0099,2025-Q2,3,14
A0099,2025-Q3,4,33
A0099,2025-Q4,4,24
A0099,2026-Q1,4,54
A0100,2025-Q1,4,43
A0100,2025-Q2,3,15
A0100,2025-Q3,4,40
A0100,2025-Q4,4,18
A0100,2026-Q1,3,6
A0101,2025-Q1,4,31
A0101,2025-Q2,3,-2
A0101,2025-Q3,4,27
A0101,2025-Q4,2,-33
A0101,2026-Q1,3,-14
A0102,2025-Q1,4,44
A0102,2025-Q2,3,-20
A0102,2025-Q3,3,-11
A0102,2025-Q4,3,-2
A0102,2026-Q1,3,3
A0103,2025-Q1,4,36
A0103,2025-Q2,2,-15
A0103,2025-Q3,4,28
A0103,2025-Q4,3,-18
A0103,2026-Q1,3,-4
A0104,2025-Q1,5,91
A0104,2025-Q2,4,21
A0104,2025-Q3,4,55
A0104,2025-Q4,3,-12
A0104,2026-Q1,4,42
A0105,2025-Q1,4,40
A0105,2025-Q2,5,78
A0105,2025-Q3,3,4
A0105,2025-Q4,4,53
A0105,2026-Q1,4,44
A0106,2025-Q1,3,-9
A0106,2025-Q2,4,24
A0106,2025-Q3,3,9
A0106,2025-Q4,4,54
A0106,2026-Q1,3,-3
A0107,2025-Q1,4,52
A0107,2025-Q2,4,35
A0107,2025-Q3,3,-11
A0107,2025-Q4,4,16
A0107,2026-Q1,3,6
A0108,2025-Q1,3,12
A0108,2025-Q2,3,-7
A0108,2025-Q3,4,40
A0108,2025-Q4,3,1
A0108,2026-Q1,4,13
A0109,2025-Q1,3,-4
A0109,2025-Q2,5,57
A0109,2025-Q3,4,27
A0109,2025-Q4,3,-9
A0109,2026-Q1,3,-12
A0110,2025-Q1,4,57
A0110,2025-Q2,3,10
A0110,2025-Q3,4,33
A0110,2025-Q4,3,-2
A0110,2026-Q1,3,10
A0111,2025-Q1,2,-22
A0111,2025-Q2,3,-5
A0111,2025-Q3,4,37
A0111,2025-Q4,3,-3
A0111,2026-Q1,4,15
A0112,2025-Q1,4,44
A0112,2025-Q2,4,45
A0112,2025-Q3,4,32
A0112,2025-Q4,2,-41
A0112,2026-Q1,4,27
A0113,2025-Q1,4,48
A0113,2025-Q2,4,57
A0113,2025-Q3,4,56
A0113,2025-Q4,4,15
A0113,2026-Q1,4,23
A0114,2025-Q1,3,10
A0114,2025-Q2,3,9
A0114,2025-Q3,4,52
A0114,2025-Q4,4,52
A0114,2026-Q1,3,14
A0115,2025-Q1,2,-19
A0115,2025-Q2,3,21
A0115,2025-Q3,5,92
A0115,2025-Q4,3,18
A0115,2026-Q1,3,-18
A0116,2025-Q1,5,64
A0116,2025-Q2,4,25
A0116,2025-Q3,3,-20
A0116,2025-Q4,4,40
A0116,2026-Q1,4,57
A0117,2025-Q1,3,-4
A0117,2025-Q2,3,18
A0117,2025-Q3,2,-49
A0117,2025-Q4,3,9
A0117,2026-Q1,2,-18
A0118,2025-Q1,3,-19
A0118,2025-Q2,4,27
A0118,2025-Q3,4,28
A0118,2025-Q4,3,-7
A0118,2026-Q1,4,13
A0119,2025-Q1,3,6
A0119,2025-Q2,5,50
A0119,2025-Q3,3,-21
A0119,2025-Q4,3,-1
A0119,2026-Q1,4,28
A0120,2025-Q1,3,4
A0120,2025-Q2,3,-2
A0120,2025-Q3,4,15
A0120,2025-Q4,5,54
A0120,2026-Q1,3,-5
A0121,2025-Q1,3,-1
A0121,2025-Q2,3,-3
A0121,2025-Q3,3,-11
A0121,2025-Q4,3,-21
A0121,2026-Q1,4,26
A0122,2025-Q1,4,16
A0122,2025-Q2,4,53
A0122,2025-Q3,4,29
A0122,2025-Q4,4,55
A0122,2026-Q1,3,0
A0123,2025-Q1,2,-16
A0123,2025-Q2,4,44
A0123,2025-Q3,3,9
A0123,2025-Q4,3,10
A0123,2026-Q1,4,20
A0124,2025-Q1,3,1
A0124,2025-Q2,4,17
A0124,2025-Q3,3,-14
A0124,2025-Q4,4,35
A0124,2026-Q1,4,40
A0125,2025-Q1,4,22
A0125,2025-Q2,3,21
A0125,2025-Q3,3,2
A0125,2025-Q4,4,23
A0125,2026-Q1,3,15
A0126,2025-Q1,3,-18
A0126,2025-Q2,3,20
A0126,2025-Q3,5,80
A0126,2025-Q4,4,26
A0126,2026-Q1,2,-22
A0127,2025-Q1,3,6
A0127,2025-Q2,3,20
A0127,2025-Q3,5,68
A0127,2025-Q4,4,35
A0127,2026-Q1,4,51
A0128,2025-Q1,4,39
A0128,2025-Q2,3,17
A0128,2025-Q3,4,15
A0128,2025-Q4,3,20
A0128,2026-Q1,4,26
A0129,2025-Q1,3,-3
A0129,2025-Q2,4,26
A0129,2025-Q3,3,7
A0129,2025-Q4,3,16
A0129,2026-Q1,4,57
A0130,2025-Q1,4,49
A0130,2025-Q2,5,48
A0130,2025-Q3,3,18
A0130,2025-Q4,4,24
A0130,2026-Q1,3,11
A0131,2025-Q1,4,46
A0131,2025-Q2,4,21
A0131,2025-Q3,4,45
A0131,2025-Q4,4,18
A0131,2026-Q1,4,29
A0132,2025-Q1,3,-5
A0132,2025-Q2,4,25
A0132,2025-Q3,3,11
A0132,2025-Q4,3,-10
A0132,2026-Q1,3,-7
A0133,2025-Q1,3,-2
A0133,2025-Q2,5,77
A0133,2025-Q3,4,41
A0133,2025-Q4,3,3
A0133,2026-Q1,4,17
A0134,2025-Q1,3,-16
A0134,2025-Q2,4,33
A0134,2025-Q3,4,22
A0134,2025-Q4,5,82
A0134,2026-Q1,4,42
A0135,2025-Q1,2,-54
A0135,2025-Q2,4,30
A0135,2025-Q3,2,-45
A0135,2025-Q4,4,50
A0135,2026-Q1,4,20
A0136,2025-Q1,3,22
A0136,2025-Q2,4,29
A0136,2025-Q3,4,56
A0136,2025-Q4,3,7
A0136,2026-Q1,3,2
A0137,2025-Q1,3,14
A0137,2025-Q2,2,-52
A0137,2025-Q3,4,38
A0137,2025-Q4,4,28
A0137,2026-Q1,3,7
A0138,2025-Q1,3,-4
A0138,2025-Q2,4,39
A0138,2025-Q3,4,50
A0138,2025-Q4,4,52
A0138,2026-Q1,4,52
A0139,2025-Q1,4,34
A0139,2025-Q2,2,-54
A0139,2025-Q3,4,33
A0139,2025-Q4,2,-48
A0139,2026-Q1,5,65
A0140,2025-Q1,4,33
A0140,2025-Q2,3,-2
A0140,2025-Q3,4,32
A0140,2025-Q4,4,14
A0140,2026-Q1,3,10
A0141,2025-Q1,4,40
A0141,2025-Q2,4,54
A0141,2025-Q3,3,-11
A0141,2025-Q4,4,42
A0141,2026-Q1,4,52
A0142,2025-Q1,4,47
A0142,2025-Q2,3,-10
A0142,2025-Q3,4,36
A0142,2025-Q4,4,53
A0142,2026-Q1,4,13
A0143,2025-Q1,4,39
A0143,2025-Q2,3,6
A0143,2025-Q3,3,-8
A0143,2025-Q4,3,9
A0143,2026-Q1,4,15
A0144,2025-Q1,3,9
A0144,2025-Q2,3,1
A0144,2025-Q3,4,15
A0144,2025-Q4,3,-13
A0144,2026-Q1,3,11
A0145,2025-Q1,3,9
A0145,2025-Q2,4,23
A0145,2025-Q3,4,54
A0145,2025-Q4,3,3
A0145,2026-Q1,4,42
A0146,2025-Q1,3,16
A0146,2025-Q2,4,32
A0146,2025-Q3,3,12
A0146,2025-Q4,3,-10
A0146,2026-Q1,3,-6
A0147,2025-Q1,3,9
A0147,2025-Q2,3,-8
A0147,2025-Q3,2,-44
A0147,2025-Q4,3,7
A0147,2026-Q1,3,-2
A0148,2025-Q1,4,28
A0149,2025-Q1,5,70
A0149,2025-Q2,4,25
A0149,2025-Q3,4,21
A0149,2025-Q4,3,20
A0149,2026-Q1,5,85
A0150,2025-Q1,3,-5
A0150,2025-Q2,4,45
A0150,2025-Q3,5,58
A0150,2025-Q4,2,-41
A0150,2026-Q1,3,1
A0151,2025-Q1,5,88
A0151,2025-Q2,3,2
A0151,2025-Q3,4,14
A0151,2025-Q4,5,69
A0151,2026-Q1,2,-43
A0152,2025-Q1,3,-21
A0152,2025-Q2,4,47
A0152,2025-Q3,4,57
A0152,2025-Q4,4,35
A0152,2026-Q1,3,-8
A0153,2025-Q1,5,87
A0153,2025-Q2,4,17
A0153,2025-Q3,2,-44
A0153,2025-Q4,4,38
A0153,2026-Q1,3,-7
A0154,2025-Q1,4,35
A0154,2025-Q2,3,0
A0154,2025-Q3,4,20
A0154,2025-Q4,3,-7
A0154,2026-Q1,4,50
A0155,2025-Q1,3,-18
A0155,2025-Q2,3,-5
A0155,2025-Q3,3,-17
A0155,2025-Q4,3,5
A0155,2026-Q1,5,91
A0156,2025-Q1,4,20
A0156,2025-Q2,3,4
A0156,2025-Q3,4,43
A0156,2025-Q4,3,14
A0156,2026-Q1,5,63
A0157,2025-Q1,3,15
A0157,2025-Q2,4,37
A0157,2025-Q3,4,39
A0157,2025-Q4,4,50
A0157,2026-Q1,2,-51
A0158,2025-Q1,3,-4
A0158,2025-Q2,3,-2
A0158,2025-Q3,3,0
A0158,2025-Q4,3,5
A0158,2026-Q1,4,34
A0159,2025-Q1,3,-16
A0159,2025-Q2,3,-9
A0159,2025-Q3,3,-4
A0159,2025-Q4,4,30
A0159,2026-Q1,3,-17
A0160,2025-Q1,4,20
A0160,2025-Q2,4,14
A0160,2025-Q3,4,39
A0160,2025-Q4,4,36
A0160,2026-Q1,3,-17
A0161,2025-Q1,4,45
A0161,2025-Q2,5,68
A0161,2025-Q3,4,25
A0161,2025-Q4,3,-20
A0161,2026-Q1,4,37
A0162,2025-Q1,3,10
A0162,2025-Q2,3,21
A0163,2025-Q1,4,47
A0163,2025-Q2,3,-19
A0163,2025-Q3,2,-31
A0163,2025-Q4,4,47
A0163,2026-Q1,4,29
A0164,2025-Q1,5,89
A0164,2025-Q2,4,14
A0164,2025-Q3,4,29
A0164,2025-Q4,3,-15
A0164,2026-Q1,3,-13
A0165,2025-Q1,4,55
A0165,2025-Q2,3,-14
A0165,2025-Q3,2,-50
A0165,2025-Q4,3,12
A0165,2026-Q1,3,-16
A0166,2025-Q1,4,13
A0166,2025-Q2,3,1
A0166,2025-Q3,3,-2
A0166,2025-Q4,2,-47
A0166,2026-Q1,3,9
A0167,2025-Q1,4,49
A0167,2025-Q2,4,53
A0167,2025-Q3,3,22
A0167,2025-Q4,4,21
A0167,2026-Q1,5,79
A0168,2025-Q1,5,78
A0168,2025-Q2,3,-22
A0168,2025-Q3,4,14
A0168,2025-Q4,4,17
A0168,2026-Q1,4,48
A0169,2025-Q1,4,45
A0169,2025-Q2,3,-12
A0169,2025-Q3,4,44
A0169,2025-Q4,4,44
A0169,2026-Q1,2,-27
A0170,2025-Q1,3,13
A0170,2025-Q2,4,51
A0170,2025-Q3,5,86
A0170,2025-Q4,3,-20
A0170,2026-Q1,3,-22
A0171,2025-Q1,4,37
A0171,2025-Q2,4,47
A0171,2025-Q3,4,14
A0171,2025-Q4,3,-4
A0171,2026-Q1,4,36
A0172,2025-Q1,5,72
A0172,2025-Q2,4,18
A0172,2025-Q3,4,33
A0172,2025-Q4,3,-9
A0172,2026-Q1,4,41
A0173,2025-Q1,5,77
A0173,2025-Q2,4,20
A0173,2025-Q3,4,47
A0173,2025-Q4,4,45
A0173,2026-Q1,3,10
A0174,2025-Q1,2,-48
A0174,2025-Q2,5,89
A0174,2025-Q3,4,51
A0174,2025-Q4,4,17
A0174,2026-Q1,4,48
A0175,2025-Q1,2,-49
A0175,2025-Q2,5,68
A0175,2025-Q3,2,-39
A0175,2025-Q4,3,19
A0175,2026-Q1,3,-2
A0176,2025-Q1,3,22
A0176,2025-Q2,4,20
A0176,2025-Q3,3,11
A0176,2025-Q4,4,16
A0176,2026-Q1,3,-14
A0177,2025-Q1,2,-32
A0177,2025-Q2,4,41
A0177,2025-Q3,5,73
A0177,2025-Q4,3,10
A0177,2026-Q1,4,48
A0178,2025-Q1,3,-15
A0178,2025-Q2,3,15
A0178,2025-Q3,5,92
A0178,2025-Q4,3,-7
A0178,2026-Q1,4,33
A0179,2025-Q1,3,-13
A0179,2025-Q2,2,-28
A0179,2025-Q3,3,18
A0179,2025-Q4,4,47
A0179,2026-Q1,4,24
A0180,2025-Q1,5,54
A0180,2025-Q2,4,17
A0180,2025-Q3,5,92
A0180,2025-Q4,3,9
A0180,2026-Q1,4,25
A0181,2025-Q1,4,29
A0181,2025-Q2,4,14
A0181,2025-Q3,4,41
A0181,2025-Q4,5,76
A0181,2026-Q1,4,36
A0182,2025-Q1,3,1
A0182,2025-Q2,3,-6
A0182,2025-Q3,4,54
A0182,2025-Q4,3,19
A0182,2026-Q1,4,46
A0183,2025-Q1,3,3
A0183,2025-Q2,4,28
A0183,2025-Q3,4,30
A0183,2025-Q4,4,25
A0183,2026-Q1,4,34
A0184,2025-Q1,4,22
A0184,2025-Q2,2,-15
A0184,2025-Q3,2,-57
A0184,2025-Q4,2,-15
A0184,2026-Q1,2,-49
A0185,2025-Q1,5,51
A0185,2025-Q2,4,38
A0185,2025-Q3,4,35
A0185,2025-Q4,3,-9
A0185,2026-Q1,2,-57
A0186,2025-Q1,3,18
A0186,2025-Q2,3,-13
A0186,2025-Q3,4,29
A0186,2025-Q4,4,42
A0186,2026-Q1,4,37
A0187,2025-Q1,4,51
A0187,2025-Q2,4,47
A0187,2025-Q3,5,50
A0187,2025-Q4,4,53
A0187,2026-Q1,4,23
A0188,2025-Q1,3,-5
A0188,2025-Q2,4,22
A0188,2025-Q3,4,44
A0188,2025-Q4,4,22
