team,week_start,region,breach_rate_pct
L1,2025-03-24,EMEA,7.1
L1,2025-03-24,APAC,12.5
L2,2025-03-24,AMER,13.6
L2,2025-03-24,EMEA,21.4
L2,2025-03-24,APAC,14.8
L3,2025-03-24,AMER,16.3
L3,2025-03-24,EMEA,18.7
L3,2025-03-24,APAC,14.6
L1,2025-03-31,AMER,4.8
L1,2025-03-31,EMEA,10
L1,2025-03-31,APAC,16.7
L2,2025-03-31,AMER,20.7
L2,2025-03-31,EMEA,21.8
L2,2025-03-31,APAC,13.3
L3,2025-03-31,AMER,15
L3,2025-03-31,EMEA,18.2
L3,2025-03-31,APAC,26.3
L1,2025-04-07,AMER,40
L1,2025-04-07,EMEA,28.6
L1,2025-04-07,APAC,25
L2,2025-04-07,AMER,16.7
L2,2025-04-07,EMEA,26.7
L2,2025-04-07,APAC,18.2
L3,2025-04-07,AMER,21.5
L3,2025-04-07,EMEA,22.4
L3,2025-04-07,APAC,15.8
L1,2025-04-14,AMER,5.9
L1,2025-04-14,EMEA,16.7
L1,2025-04-14,APAC,20
L2,2025-04-14,AMER,13.2
L2,2025-04-14,EMEA,6.3
L2,2025-04-14,APAC,18.5
L3,2025-04-14,AMER,12.2
L3,2025-04-14,EMEA,18.8
L3,2025-04-14,APAC,14
L1,2025-04-21,AMER,26.7
L1,2025-04-21,EMEA,33.3
L1,2025-04-21,APAC,0
L2,2025-04-21,AMER,9.8
L2,2025-04-21,EMEA,25.6
L2,2025-04-21,APAC,25
L3,2025-04-21,AMER,15.7
L3,2025-04-21,EMEA,17.4
L3,2025-04-21,APAC,16.3
L1,2025-04-28,AMER,16.7
L1,2025-04-28,EMEA,33.3
L1,2025-04-28,APAC,50
L2,2025-04-28,AMER,11.4
L2,2025-04-28,EMEA,28.6
L2,2025-04-28,APAC,21.7
L3,2025-04-28,AMER,12.2
L3,2025-04-28,EMEA,34.2
L3,2025-04-28,APAC,9.1
L1,2025-05-05,AMER,16.7
L1,2025-05-05,EMEA,50
L1,2025-05-05,APAC,33.3
L2,2025-05-05,AMER,13.9
L2,2025-05-05,EMEA,25.7
L2,2025-05-05,APAC,4.3
L3,2025-05-05,AMER,11.9
L3,2025-05-05,EMEA,28.6
L3,2025-05-05,APAC,32.4
L1,2025-05-12,AMER,20
L1,2025-05-12,EMEA,10
L1,2025-05-12,APAC,22.2
L2,2025-05-12,AMER,16.4
L2,2025-05-12,EMEA,33.3
L2,2025-05-12,APAC,4.3
L3,2025-05-12,AMER,25
L3,2025-05-12,EMEA,28.8
L3,2025-05-12,APAC,28.3
L1,2025-05-19,AMER,23.5
L1,2025-05-19,EMEA,42.9
L1,2025-05-19,APAC,0
L2,2025-05-19,AMER,12.5
L2,2025-05-19,EMEA,14.9
L2,2025-05-19,APAC,13
L3,2025-05-19,AMER,7.8
L3,2025-05-19,EMEA,23.5
L3,2025-05-19,APAC,21.6
L1,2025-05-26,AMER,25
L1,2025-05-26,EMEA,0
L1,2025-05-26,APAC,0
L2,2025-05-26,AMER,9.5
L2,2025-05-26,EMEA,17.3
L2,2025-05-26,APAC,13.8
L3,2025-05-26,AMER,14.4
L3,2025-05-26,EMEA,17.8
L3,2025-05-26,APAC,11.4
L1,2025-06-02,AMER,12.5
L1,2025-06-02,EMEA,13.3
L1,2025-06-02,APAC,33.3
L2,2025-06-02,AMER,18.6
L2,2025-06-02,EMEA,11.8
L2,2025-06-02,APAC,19
L3,2025-06-02,AMER,14.6
L3,2025-06-02,EMEA,19.5
L3,2025-06-02,APAC,16.3
L1,2025-06-09,AMER,12.5
L1,2025-06-09,EMEA,0
L1,2025-06-09,APAC,3
L2,2025-06-09,AMER,18.2
L2,2025-06-09,EMEA,16.3
L2,2025-06-09,APAC,15
L3,2025-06-09,AMER,17.8
L3,2025-06-09,EMEA,10.8
L3,2025-06-09,APAC,10.7
L1,2025-06-16,AMER,30.8
L1,2025-06-16,EMEA,20
L1,2025-06-16,APAC,0
L2,2025-06-16,AMER,19.7
L2,2025-06-16,EMEA,23.5
L2,2025-06-16,APAC,15
L3,2025-06-16,AMER,21.4
L3,2025-06-16,EMEA,25
L3,2025-06-16,APAC,16.1
