ticket_id,priority,product,region,resolution_hours
T000098,P3,Automation Edge,AMER,18.3
T000099,P2,Analytics Pro,AMER,18.4
T000100,P2,Core Suite,AMER,15.4
T000101,P3,Analytics Pro,AMER,22.4
T000102,P3,Automation Edge,AMER,51.1
T000103,P3,Core Suite,AMER,42.6
T000104,P2,Automation Edge,APAC,26.8
T000105,P3,Automation Edge,AMER,46.3
T000106,P3,Core Suite,EMEA,33
T000107,P3,Analytics Pro,AMER,25.7
T000108,P2,Automation Edge,AMER,15.6
T000109,P2,Analytics Pro,AMER,15.1
T000110,P3,Core Suite,AMER,50.6
T000111,P3,Core Suite,EMEA,29.1
T000112,P1,Core Suite,AMER,4.5
T000113,P2,Core Suite,AMER,23.8
T000114,P3,Automation Edge,AMER,32.5
T000115,P2,Core Suite,AMER,24.1
T000116,P2,Analytics Pro,APAC,25.7
T000117,P3,Core Suite,EMEA,44.5
T000118,P3,Core Suite,EMEA,26.8
T000119,P3,Automation Edge,EMEA,51.6
T000120,P2,Analytics Pro,EMEA,14.8
T000121,P3,Analytics Pro,EMEA,34.5
T000122,P2,Analytics Pro,AMER,22.3
T000123,P1,Analytics Pro,AMER,5.4
T000124,P3,Core Suite,AMER,52
T000125,P3,Analytics Pro,APAC,52.5
T000126,P3,Core Suite,APAC,40.9
T000127,P3,Core Suite,EMEA,52.8
T000128,P3,Analytics Pro,APAC,53.5
T000129,P3,Automation Edge,APAC,49.5
T000130,P2,Core Suite,EMEA,13
T000131,P1,Core Suite,AMER,7.5
T000132,P3,Automation Edge,EMEA,27.5
T000133,P1,Core Suite,EMEA,4.6
T000134,P2,Automation Edge,AMER,12.6
T000135,P2,Core Suite,AMER,18.1
T000136,P3,Automation Edge,EMEA,40
T000137,P2,Analytics Pro,APAC,22.3
T000138,P3,Analytics Pro,AMER,41
T000139,P1,Core Suite,APAC,8.7
T000140,P1,Core Suite,AMER,8.5
T000141,P3,Automation Edge,EMEA,34
T000142,P1,Analytics Pro,AMER,4
T000143,P3,Core Suite,AMER,36.3
T000144,P3,Analytics Pro,AMER,53.5
T000145,P2,Analytics Pro,AMER,9.7
T000146,P3,Core Suite,AMER,28.9
T000147,P3,Core Suite,EMEA,38.1
T000148,P2,Analytics Pro,AMER,9.3
T000149,P2,Core Suite,EMEA,25.6
T000150,P3,Analytics Pro,AMER,32.2
T000151,P3,Automation Edge,AMER,35.3
T000152,P2,Core Suite,EMEA,25.1
T000153,P3,Analytics Pro,AMER,27.3
T000154,P3,Analytics Pro,EMEA,39.3
T000155,P2,Core Suite,EMEA,24.7
T000156,P3,Analytics Pro,EMEA,28.2
T000157,P3,Automation Edge,AMER,28.4
T000158,P3,Core Suite,APAC,20
T000159,P3,Automation Edge,AMER,38.4
T000160,P3,Analytics Pro,AMER,24
T000161,P3,Core Suite,AMER,47.6
T000162,P3,Automation Edge,APAC,18.2
T000163,P3,Core Suite,EMEA,39.1
T000164,P3,Core Suite,EMEA,35.3
T000165,P3,Core Suite,EMEA,43.5
T000166,P3,Core Suite,AMER,32.6
T000167,P3,Core Suite,APAC,34.4
T000168,P3,Automation Edge,EMEA,25
T000169,P3,Core Suite,AMER,20
T000170,P3,Analytics Pro,EMEA,37.7
T000171,P3,Automation Edge,EMEA,31.5
T000172,P1,Core Suite,EMEA,6.7
T000173,P3,Automation Edge,EMEA,51.3
T000174,P3,Automation Edge,AMER,35
T000175,P3,Analytics Pro,EMEA,24.5
T000176,P3,Core Suite,EMEA,26.5
T000177,P3,Analytics Pro,EMEA,43.7
T000178,P2,Core Suite,AMER,10.3
T000179,P3,Automation Edge,AMER,21.3
T000180,P3,Analytics Pro,EMEA,30.6
T000181,P3,Core Suite,AMER,42.1
T000182,P3,Core Suite,AMER,27.4
T000183,P3,Core Suite,APAC,45.5
T000184,P3,Core Suite,AMER,23.3
T000185,P3,Core Suite,EMEA,40.5
T000186,P3,Analytics Pro,AMER,46.4
T000187,P2,Analytics Pro,AMER,14.3
T000188,P3,Analytics Pro,EMEA,36.7
T000189,P3,Analytics Pro,EMEA,20.6
T000190,P3,Core Suite,APAC,22.2
T000191,P3,Core Suite,AMER,26.8
T000192,P3,Automation Edge,AMER,33.9
T000193,P3,Core Suite,AMER,41.2
T000194,P1,Analytics Pro,AMER,5.8
T000195,P3,Analytics Pro,APAC,18.3
T000196,P3,Core Suite,EMEA,25.9
T000197,P3,Automation Edge,EMEA,29.9
T000198,P2,Analytics Pro,AMER,25.6
T000199,P3,Core Suite,AMER,21.4
T000200,P2,Core Suite,EMEA,27.2
T000201,P2,Analytics Pro,EMEA,25.6
T000202,P3,Analytics Pro,APAC,50.7
T000203,P3,Analytics Pro,EMEA,21.5
T000204,P3,Analytics Pro,AMER,40
T000205,P3,Core Suite,AMER,32.5
T000206,P3,Automation Edge,EMEA,23.8
T000207,P3,Analytics Pro,AMER,25.3
T000208,P3,Automation Edge,AMER,22.6
T000209,P2,Automation Edge,APAC,25.4
T000210,P1,Core Suite,AMER,6.4
T000211,P2,Core Suite,AMER,12.9
T000212,P3,Analytics Pro,EMEA,49.2
T000213,P2,Automation Edge,AMER,9.1
T000214,P3,Core Suite,APAC,29.3
T000215,P3,Core Suite,EMEA,52
T000216,P2,Analytics Pro,AMER,22
T000217,P3,Core Suite,AMER,30
T000218,P3,Analytics Pro,AMER,39.6
T000219,P1,Core Suite,AMER,3
T000220,P3,Analytics Pro,AMER,53.6
T000221,P3,Core Suite,AMER,32
T000222,P2,Core Suite,EMEA,14.8
T000223,P3,Core Suite,EMEA,50.2
T000224,P3,Analytics Pro,EMEA,42.8
T000225,P2,Automation Edge,AMER,17.9
T000226,P1,Analytics Pro,EMEA,7
T000227,P3,Core Suite,AMER,30.7
T000228,P1,Analytics Pro,APAC,4.2
T000229,P3,Analytics Pro,EMEA,54.2
T000230,P3,Core Suite,AMER,21.7
T000231,P3,Core Suite,APAC,20.8
T000232,P3,Core Suite,APAC,20
T000233,P2,Core Suite,AMER,20
T000234,P3,Core Suite,EMEA,34.6
T000235,P1,Core Suite,EMEA,4
T000236,P3,Analytics Pro,AMER,52.2
T000237,P2,Core Suite,AMER,17.7
T000238,P2,Analytics Pro,EMEA,11.7
T000239,P3,Analytics Pro,APAC,49.1
T000240,P2,Core Suite,EMEA,17.1
T000241,P1,Core Suite,AMER,3.4
T000242,P2,Automation Edge,AMER,24.3
T000243,P1,Analytics Pro,AMER,4.5
T000244,P3,Core Suite,EMEA,33.9
T000245,P2,Core Suite,AMER,23.4
T000246,P2,Core Suite,APAC,21.1
T000247,P2,Core Suite,APAC,11.3
T000248,P3,Core Suite,AMER,47.1
T000249,P3,Automation Edge,EMEA,52.5
T000250,P3,Analytics Pro,APAC,48.2
T000251,P3,Analytics Pro,EMEA,36.2
T000252,P3,Core Suite,APAC,23.2
T000253,P2,Core Suite,EMEA,24
T000254,P2,Core Suite,AMER,17
T000255,P3,Analytics Pro,AMER,46.5
T000256,P3,Analytics Pro,AMER,26.4
T000257,P3,Core Suite,EMEA,26.1
T000258,P2,Core Suite,EMEA,25.3
T000259,P3,Analytics Pro,APAC,19.6
T000260,P3,Automation Edge,EMEA,38.9
T000261,P3,Analytics Pro,EMEA,52.3
T000262,P3,Core Suite,AMER,26.7
T000263,P3,Core Suite,AMER,18.4
T000264,P3,Core Suite,EMEA,19
T000265,P3,Automation Edge,APAC,36.3
T000266,P3,Core Suite,EMEA,34.5
T000267,P3,Core Suite,EMEA,55.4
T000268,P3,Automation Edge,EMEA,41.9
T000269,P3,Automation Edge,APAC,27.5
T000270,P2,Analytics Pro,AMER,20.6
T000271,P2,Analytics Pro,AMER,16.1
T000272,P2,Core Suite,EMEA,21.9
T000273,P3,Analytics Pro,AMER,26.2
T000274,P3,Analytics Pro,EMEA,46.8
T000275,P3,Core Suite,AMER,23
T000276,P2,Core Suite,AMER,21.1
T000277,P2,Analytics Pro,EMEA,20.1
T000278,P3,Automation Edge,AMER,28.8
T000279,P3,Analytics Pro,AMER,47.4
T000280,P3,Core Suite,EMEA,19.5
T000281,P2,Automation Edge,AMER,12.9
T000282,P3,Automation Edge,EMEA,42.7
T000283,P2,Core Suite,AMER,12.6
T000284,P3,Analytics Pro,AMER,23.5
T000285,P3,Automation Edge,EMEA,21
T000286,P2,Core Suite,AMER,15.9
T000287,P3,Analytics Pro,AMER,40.1
T000288,P3,Core Suite,AMER,24.5
T000289,P3,Automation Edge,AMER,18.8
T000290,P3,Automation Edge,APAC,27
T000291,P2,Analytics Pro,AMER,26.5
T000292,P2,Core Suite,EMEA,19.5
T000293,P3,Core Suite,AMER,28.2
T000294,P1,Core Suite,EMEA,3.6
T000295,P3,Core Suite,AMER,53.4
T000296,P3,Analytics Pro,EMEA,22.4
T000297,P2,Analytics Pro,AMER,15.3
T000298,P3,Analytics Pro,AMER,53.7
T000299,P2,Core Suite,EMEA,23.1
T000300,P3,Core Suite,AMER,48.4
T000301,P2,Analytics Pro,EMEA,19.4
T000302,P3,Analytics Pro,AMER,53.9
T000303,P3,Core Suite,EMEA,39
T000304,P3,Analytics Pro,AMER,33
T000305,P3,Core Suite,EMEA,19.4
T000306,P2,Analytics Pro,AMER,22.5
T000307,P3,Automation Edge,AMER,26.6
T000308,P2,Core Suite,EMEA,17.3
T000309,P2,Core Suite,APAC,22.7
T000310,P3,Core Suite,AMER,21.1
T000311,P3,Core Suite,EMEA,49.9
T000312,P3,Core Suite,EMEA,31.5
T000313,P2,Core Suite,AMER,19.2
T000314,P3,Automation Edge,AMER,44
T000315,P3,Core Suite,AMER,28
T000316,P2,Analytics Pro,AMER,9.6
T000317,P3,Core Suite,EMEA,49.1
T000318,P2,Analytics Pro,AMER,24.1
T000319,P2,Automation Edge,AMER,24.5
T000320,P3,Automation Edge,EMEA,48.7
T000321,P3,Analytics Pro,EMEA,38.8
T000322,P3,Core Suite,APAC,33.2
T000323,P1,Automation Edge,EMEA,3.6
T000324,P2,Core Suite,AMER,22.3
T000325,P3,Core Suite,EMEA,38.4
T000326,P2,Automation Edge,AMER,22.2
T000327,P3,Analytics Pro,AMER,53.4
T000328,P3,Automation Edge,AMER,43.8
T000329,P1,Core Suite,EMEA,7
T000330,P2,Automation Edge,AMER,26
T000331,P3,Core Suite,AMER,49.5
T000332,P3,Automation Edge,EMEA,35.4
T000333,P3,Automation Edge,AMER,44.3
T000334,P2,Analytics Pro,AMER,26
T000335,P1,Core Suite,AMER,6.2
T000336,P3,Analytics Pro,AMER,28.1
T000337,P2,Automation Edge,EMEA,18
T000338,P3,Core Suite,AMER,34.9
T000339,P3,Automation Edge,EMEA,49.9
T000340,P3,Core Suite,EMEA,54.1
T000341,P2,Analytics Pro,APAC,12.1
T000342,P2,Analytics Pro,AMER,9
T000343,P3,Analytics Pro,APAC,44.9
T000344,P3,Analytics Pro,AMER,32.5
T000345,P2,Analytics Pro,EMEA,24.6
T000346,P3,Automation Edge,AMER,52.8
T000347,P2,Core Suite,APAC,26.7
T000348,P2,Automation Edge,AMER,11.5
T000349,P3,Core Suite,AMER,35.7
T000350,P2,Core Suite,AMER,26.8
T000351,P3,Core Suite,AMER,47.3
T000352,P2,Core Suite,APAC,22.9
T000353,P3,Core Suite,AMER,47.8
T000354,P3,Automation Edge,AMER,41.1
T000355,P3,Core Suite,AMER,39
T000356,P3,Core Suite,AMER,40.2
T000357,P3,Automation Edge,AMER,22.9
T000358,P2,Core Suite,APAC,16.1
T000359,P2,Automation Edge,APAC,13.2
T000360,P3,Automation Edge,APAC,33.9
T000361,P3,Analytics Pro,EMEA,30.6
T000362,P3,Core Suite,AMER,37.7
T000363,P3,Automation Edge,AMER,21.1
T000364,P3,Analytics Pro,AMER,31.3
T000365,P2,Automation Edge,EMEA,14.6
T000366,P2,Core Suite,AMER,18.8
T000367,P3,Automation Edge,APAC,28
T000368,P1,Automation Edge,EMEA,3.4
T000369,P2,Core Suite,APAC,14.8
T000370,P2,Analytics Pro,AMER,18.1
T000371,P3,Automation Edge,AMER,46.3
T000372,P3,Core Suite,EMEA,41.2
T000373,P2,Core Suite,AMER,19.4
T000374,P3,Analytics Pro,APAC,19.7
T000375,P3,Core Suite,AMER,23.3
T000376,P2,Core Suite,AMER,26.1
T000377,P2,Analytics Pro,AMER,22.1
T000378,P3,Core Suite,AMER,27.3
T000379,P1,Analytics Pro,APAC,8.4
T000380,P3,Analytics Pro,AMER,36.9
T000381,P2,Analytics Pro,EMEA,22.3
T000382,P2,Analytics Pro,AMER,21.6
T000383,P3,Automation Edge,AMER,38.7
T000384,P3,Automation Edge,AMER,47.5
T000385,P3,Automation Edge,AMER,33.8
T000386,P2,Analytics Pro,AMER,20
T000387,P3,Automation Edge,APAC,51.8
T000388,P3,Analytics Pro,APAC,43.6
T000389,P3,Core Suite,APAC,38.1
T000390,P3,Analytics Pro,APAC,40.3
T000391,P1,Automation Edge,EMEA,8.1
T000392,P3,Analytics Pro,EMEA,50.8
T000393,P2,Core Suite,EMEA,16.9
T000394,P2,Core Suite,EMEA,23.7
T000395,P3,Core Suite,EMEA,43.1
T000396,P3,Core Suite,APAC,18.3
T000397,P3,Analytics Pro,AMER,44.9
T000398,P1,Automation Edge,AMER,3.5
T000399,P3,Core Suite,EMEA,41.4
T000400,P3,Core Suite,EMEA,35.6
T000401,P3,Automation Edge,APAC,41.1
T000402,P3,Core Suite,AMER,42.6
T000403,P3,Core Suite,AMER,32.2
T000404,P3,Core Suite,EMEA,46.7
T000405,P1,Core Suite,APAC,5.5
T000406,P3,Analytics Pro,APAC,49
T000407,P3,Automation Edge,AMER,34
T000408,P3,Analytics Pro,APAC,37.1
T000409,P3,Automation Edge,EMEA,20.8
T000410,P3,Analytics Pro,APAC,24.6
T000411,P1,Automation Edge,AMER,3.8
T000412,P3,Core Suite,AMER,42.6
T000413,P3,Analytics Pro,EMEA,24.5
T000414,P3,Core Suite,EMEA,54.6
T000415,P2,Core Suite,EMEA,14.3
T000416,P3,Automation Edge,APAC,32.2
T000417,P3,Core Suite,AMER,52
T000418,P3,Automation Edge,AMER,22
T000419,P3,Automation Edge,AMER,19.2
T000420,P3,Core Suite,AMER,46.7
T000421,P3,Analytics Pro,AMER,51
T000422,P1,Analytics Pro,AMER,7.9
T000423,P2,Core Suite,AMER,12.5
T000424,P3,Core Suite,AMER,26.1
T000425,P2,Analytics Pro,AMER,22.2
T000426,P2,Core Suite,EMEA,26.4
T000427,P2,Core Suite,APAC,22.9
T000428,P3,Analytics Pro,AMER,19.1
T000429,P2,Core Suite,APAC,9.6
T000430,P1,Core Suite,AMER,4.2
T000431,P3,Automation Edge,AMER,44.9
T000432,P2,Core Suite,APAC,18.8
T000433,P3,Analytics Pro,AMER,26.5
T000434,P2,Automation Edge,AMER,18.8
T000435,P3,Core Suite,EMEA,46.4
T000436,P3,Core Suite,AMER,18.9
T000437,P1,Core Suite,AMER,6.4
T000438,P3,Core Suite,AMER,18.7
T000439,P3,Automation Edge,APAC,38.9
T000440,P3,Core Suite,EMEA,45.2
T000441,P2,Analytics Pro,AMER,16.2
T000442,P3,Analytics Pro,EMEA,45.6
T000443,P2,Analytics Pro,AMER,22
T000444,P3,Core Suite,AMER,40.6
T000445,P3,Core Suite,AMER,28.8
T000446,P2,Core Suite,AMER,26.5
T000447,P3,Core Suite,EMEA,24.4
T000448,P2,Core Suite,AMER,21.9
T000449,P3,Core Suite,AMER,43.5
T000450,P3,Core Suite,EMEA,45.6
T000451,P3,Analytics Pro,EMEA,46.5
T000452,P3,Analytics Pro,AMER,29.8
T000453,P2,Core Suite,AMER,17.1
T000454,P3,Core Suite,AMER,53.3
T000455,P2,Analytics Pro,AMER,9.8
T000456,P3,Core Suite,AMER,41.5
T000457,P3,Core Suite,EMEA,56
T000458,P3,Core Suite,AMER,36.1
T000459,P3,Core Suite,AMER,43.7
T000460,P2,Core Suite,AMER,26.8
T000461,P2,Automation Edge,APAC,15.7
T000462,P2,Automation Edge,AMER,26.1
T000463,P3,Automation Edge,EMEA,33
T000464,P3,Core Suite,EMEA,55.3
T000465,P2,Core Suite,EMEA,11.6
T000466,P2,Analytics Pro,APAC,13.3
T000467,P2,Analytics Pro,AMER,15.8
T000468,P2,Automation Edge,EMEA,24.9
T000469,P1,Analytics Pro,AMER,8.2
T000470,P3,Automation Edge,AMER,20.4
T000471,P3,Core Suite,APAC,22
T000472,P3,Core Suite,APAC,53.2
T000473,P3,Automation Edge,EMEA,28.8
T000474,P3,Core Suite,EMEA,31.9
T000475,P3,Automation Edge,APAC,41.3
T000476,P3,Core Suite,AMER,48.7
T000477,P3,Automation Edge,EMEA,49
T000478,P3,Core Suite,APAC,23.4
T000479,P1,Core Suite,AMER,7.5
T000480,P3,Analytics Pro,EMEA,27.7
T000481,P3,Automation Edge,AMER,28.1
T000482,P1,Core Suite,EMEA,7
T000483,P2,Automation Edge,AMER,21.4
T000484,P3,Analytics Pro,EMEA,29.4
T000485,P1,Core Suite,EMEA,6.5
T000486,P2,Core Suite,EMEA,20
T000487,P3,Core Suite,AMER,19.9
T000488,P3,Analytics Pro,EMEA,22.1
T000489,P3,Automation Edge,AMER,53.3
T000490,P3,Core Suite,EMEA,19
T000491,P2,Analytics Pro,EMEA,26
T000492,P3,Analytics Pro,APAC,42.7
T000493,P3,Analytics Pro,EMEA,39.6
T000494,P3,Automation Edge,APAC,51.3
T000495,P3,Core Suite,EMEA,40.8
T000496,P3,Analytics Pro,EMEA,43.2
T000497,P3,Analytics Pro,AMER,25.6
T000498,P3,Analytics Pro,AMER,40.1
T000499,P3,Core Suite,AMER,21.8
T000500,P3,Analytics Pro,AMER,40.2
T000501,P3,Analytics Pro,AMER,20.6
T000502,P3,Analytics Pro,EMEA,27.3
T000503,P3,Core Suite,AMER,31.7
T000504,P2,Core Suite,AMER,11.8
T000505,P3,Core Suite,AMER,45.9
T000506,P3,Core Suite,AMER,40
T000507,P1,Analytics Pro,AMER,8
T000508,P3,Automation Edge,EMEA,45.2
T000509,P1,Core Suite,AMER,7.1
T000510,P3,Core Suite,APAC,50.9
T000511,P3,Automation Edge,AMER,49.4
T000512,P3,Analytics Pro,APAC,40.7
T000513,P3,Automation Edge,AMER,39
T000514,P2,Core Suite,AMER,18.5
T000515,P3,Automation Edge,AMER,29.1
T000516,P3,Analytics Pro,AMER,31
T000517,P3,Core Suite,APAC,18.2
T000518,P1,Analytics Pro,APAC,4.9
T000519,P3,Analytics Pro,APAC,21.3
T000520,P3,Analytics Pro,AMER,25.7
T000521,P2,Analytics Pro,EMEA,18.8
T000522,P3,Core Suite,AMER,39.6
T000523,P2,Automation Edge,EMEA,27.6
T000524,P2,Analytics Pro,EMEA,26
T000525,P3,Core Suite,AMER,35.1
T000526,P3,Analytics Pro,EMEA,47.2
T000527,P3,Analytics Pro,AMER,31.2
T000528,P2,Analytics Pro,AMER,24.6
T000529,P3,Analytics Pro,EMEA,56.4
T000530,P3,Automation Edge,AMER,25.3
T000531,P3,Analytics Pro,APAC,34.7
T000532,P2,Automation Edge,APAC,18.5
T000533,P2,Automation Edge,EMEA,17.1
T000534,P2,Automation Edge,EMEA,21.7
T000535,P3,Analytics Pro,APAC,29.7
T000536,P3,Analytics Pro,AMER,33.4
T000537,P3,Analytics Pro,AMER,26.8
T000538,P3,Analytics Pro,EMEA,48
T000539,P2,Analytics Pro,AMER,18.6
T000540,P3,Automation Edge,AMER,35.2
T000541,P2,Core Suite,AMER,13.2
T000542,P3,Analytics Pro,AMER,50.7
T000543,P2,Core Suite,APAC,19.4
T000544,P2,Analytics Pro,APAC,11.6
T000545,P2,Automation Edge,EMEA,24.9
T000546,P3,Automation Edge,APAC,47.4
T000547,P3,Analytics Pro,AMER,44.4
T000548,P3,Automation Edge,EMEA,39.1
T000549,P2,Analytics Pro,AMER,16.2
T000550,P3,Analytics Pro,APAC,38.7
T000551,P3,Automation Edge,AMER,38.9
T000552,P3,Automation Edge,EMEA,24.2
T000553,P2,Core Suite,AMER,24.1
T000554,P3,Analytics Pro,AMER,43.9
T000555,P2,Core Suite,AMER,26
T000556,P3,Automation Edge,AMER,28.5
T000557,P3,Core Suite,EMEA,48
T000558,P1,Core Suite,AMER,8.7
T000559,P3,Automation Edge,AMER,53.4
T000560,P2,Core Suite,AMER,24.4
T000561,P2,Core Suite,AMER,11.9
T000562,P3,Core Suite,EMEA,19.5
T000563,P2,Automation Edge,EMEA,11.7
T000564,P3,Core Suite,AMER,19.9
T000565,P3,Analytics Pro,AMER,20.2
T000566,P3,Core Suite,AMER,42
T000567,P3,Automation Edge,APAC,52.2
T000568,P3,Analytics Pro,AMER,48.3
T000569,P3,Analytics Pro,EMEA,43.5
T000570,P3,Core Suite,AMER,46.6
T000571,P1,Analytics Pro,AMER,7.5
T000572,P3,Analytics Pro,AMER,53.7
T000573,P3,Core Suite,AMER,22.9
T000574,P2,Core Suite,AMER,13.6
T000575,P1,Analytics Pro,AMER,7.5
T000576,P3,Core Suite,AMER,33.4
T000577,P1,Analytics Pro,AMER,6.6
T000578,P3,Automation Edge,APAC,28.5
T000579,P2,Core Suite,AMER,16.2
T000580,P2,Automation Edge,EMEA,11.8
T000581,P1,Core Suite,EMEA,3.4
T000582,P3,Analytics Pro,AMER,29.8
T000583,P2,Analytics Pro,EMEA,19
T000584,P2,Analytics Pro,AMER,14.9
T000585,P2,Automation Edge,AMER,15.2
T000586,P3,Automation Edge,AMER,36.3
T000587,P2,Automation Edge,EMEA,15.4
T000588,P1,Automation Edge,AMER,6
T000589,P3,Core Suite,APAC,33
T000590,P2,Automation Edge,EMEA,10.7
T000591,P2,Analytics Pro,APAC,13
T000592,P3,Core Suite,EMEA,41.7
T000593,P3,Analytics Pro,APAC,46.8
T000594,P2,Core Suite,AMER,16.6
T000595,P3,Analytics Pro,AMER,50.8
T000596,P3,Automation Edge,APAC,33.1
T000597,P3,Automation Edge,AMER,51.1
T000598,P2,Automation Edge,EMEA,21.9
T000599,P2,Automation Edge,AMER,18.3
T000600,P2,Core Suite,EMEA,22.3
T000601,P3,Analytics Pro,EMEA,32.8
T000602,P3,Analytics Pro,AMER,35.4
T000603,P3,Automation Edge,EMEA,33.6
T000604,P3,Automation Edge,EMEA,25.1
T000605,P3,Core Suite,APAC,18.8
T000606,P1,Analytics Pro,AMER,8.6
T000607,P3,Core Suite,AMER,50.4
T000608,P3,Analytics Pro,AMER,28
T000609,P2,Automation Edge,AMER,12.1
T000610,P2,Analytics Pro,APAC,18.6
T000611,P2,Automation Edge,EMEA,28.3
T000612,P2,Analytics Pro,EMEA,11.5
T000613,P3,Automation Edge,EMEA,19.6
T000614,P3,Core Suite,APAC,23.5
T000615,P1,Core Suite,EMEA,5.3
T000616,P3,Core Suite,APAC,53.9
T000617,P3,Core Suite,EMEA,47.4
T000618,P2,Analytics Pro,EMEA,13.5
T000619,P3,Analytics Pro,APAC,45.9
T000620,P1,Core Suite,AMER,6.6
T000621,P2,Automation Edge,AMER,9.6
T000622,P2,Core Suite,AMER,10.6
T000623,P3,Core Suite,AMER,49.7
T000624,P3,Core Suite,APAC,48.3
T000625,P2,Core Suite,AMER,25.6
T000626,P3,Core Suite,EMEA,21.7
T000627,P2,Automation Edge,EMEA,17.4
T000628,P3,Core Suite,EMEA,27.4
T000629,P3,Core Suite,AMER,51.5
T000630,P3,Core Suite,EMEA,51.3
T000631,P3,Core Suite,AMER,29.4
T000632,P2,Core Suite,AMER,16.6
T000633,P2,Core Suite,EMEA,23.1
T000634,P1,Analytics Pro,EMEA,8.4
T000635,P2,Automation Edge,AMER,9.6
