account_id,account_name,logo_acquisition_year,fiscal_quarter,created_date,close_date,region,account_vertical,product_line,deal_type,outcome,contract_term_years,acv_usd,tcv_usd,deal_source,discount_pct,primary_loss_reason
A0654,Cobalt Systems Inc,2024,2025-Q1,2024-07-14,2025-01-28,EMEA,Healthcare,Platform,land,won,1,90000,90000,partner,63.8,
A0655,Cobalt Labs Inc,2022,2025-Q1,2024-04-21,2025-01-10,APAC,Technology,Platform,land,won,3,56000,168000,event,25.7,
A0656,Aurora Dynamics,2022,2025-Q1,2024-07-03,2025-01-27,AMER,Technology,Analytics,land,won,3,83000,249000,partner,26.6,
A0657,Meridian Labs,2022,2025-Q1,2024-12-09,2025-02-21,APAC,Retail,Platform,land,won,3,80000,240000,event,63.3,
A0658,Aurora Systems Inc,2020,2025-Q1,2024-07-27,2025-02-16,APAC,Healthcare,Platform,land,won,5,173000,865000,csm_expansion,35.4,
A0659,Cobalt Works,2024,2025-Q1,2024-08-22,2025-03-02,AMER,Retail,Security,land,won,1,24000,24000,csm_expansion,54.1,
A0660,Pinnacle Labs,2022,2025-Q1,2024-07-30,2025-02-15,APAC,Financial Services,Platform,land,won,3,16000,48000,partner,70.4,
A0661,Granite Systems,2022,2025-Q1,2024-12-02,2025-01-08,APAC,Technology,Analytics,land,won,3,134000,402000,inbound,46,
A0662,Parallel Grid,2023,2025-Q1,2024-07-17,2025-02-03,AMER,Healthcare,Analytics,land,won,2,13000,26000,sales_outbound,54.8,
A0663,Aurora Works Inc,2022,2025-Q1,2024-08-20,2025-03-22,EMEA,Retail,Platform,land,won,3,64000,192000,sales_outbound,30,
A0664,Aurora Dynamics,2022,2025-Q1,2024-09-02,2025-02-02,EMEA,Healthcare,Security,land,won,3,16000,48000,sales_outbound,47.8,
A0665,Granite Grid,2022,2025-Q1,2024-09-14,2025-01-27,APAC,Professional Services,Security,land,won,3,40000,120000,inbound,58.1,
A0666,Pinnacle Bridge,2022,2025-Q1,2024-09-27,2025-02-18,AMER,Technology,Analytics,land,won,3,45000,135000,csm_expansion,44.5,
A0667,Aurora Bridge Inc,2022,2025-Q1,2024-06-22,2025-01-25,AMER,Healthcare,Analytics,land,won,3,13000,39000,sales_outbound,41.8,
A0668,Pinnacle Bridge Inc,2022,2025-Q1,2024-06-22,2025-01-03,APAC,Financial Services,Platform,land,won,3,54000,162000,sales_outbound,50.4,
A0669,Aurora Labs Inc,2022,2025-Q1,2024-10-03,2025-03-03,EMEA,Technology,Security,land,won,3,71000,213000,sales_outbound,41.3,
A0670,Silverline Systems,2022,2025-Q1,2024-07-16,2025-03-20,AMER,Professional Services,Analytics,land,won,3,117000,351000,csm_expansion,50.1,
A0671,Parallel Dynamics,2021,2025-Q1,2024-07-11,2025-03-26,EMEA,Healthcare,Platform,land,won,4,95000,380000,sales_outbound,61.2,
A0672,Northwind Dynamics,2021,2025-Q1,2024-09-24,2025-03-13,EMEA,Healthcare,Security,land,won,4,71000,284000,inbound,68.5,
A0673,Silverline Labs,2022,2025-Q1,2024-10-19,2025-03-28,EMEA,Retail,Platform,land,won,3,13000,39000,inbound,47.8,
A0674,Cobalt Logic Inc,2022,2025-Q1,2024-06-07,2025-02-16,AMER,Technology,Analytics,land,won,3,21000,63000,sales_outbound,64.8,
A0675,Silverline Logic Inc,2022,2025-Q1,2024-07-15,2025-03-07,APAC,Manufacturing,Analytics,land,won,3,45000,135000,sales_outbound,75.2,
A0676,Pinnacle Bridge,2022,2025-Q1,2024-05-10,2025-01-23,APAC,Manufacturing,Platform,land,won,3,247000,741000,csm_expansion,50.6,
A0677,Parallel Cloud,2022,2025-Q1,2024-10-14,2025-02-03,APAC,Technology,Analytics,land,won,3,43000,129000,sales_outbound,64.2,
A0678,Aurora Systems,2021,2025-Q1,2024-09-07,2025-02-11,AMER,Retail,Security,land,won,4,227000,908000,inbound,57.2,
A0679,Aurora Dynamics,2022,2025-Q1,2024-08-29,2025-03-27,AMER,Professional Services,Analytics,land,won,3,16000,48000,sales_outbound,59,
A0680,Aurora Works,2022,2025-Q1,2024-08-03,2025-03-26,AMER,Manufacturing,Analytics,land,won,3,14000,42000,sales_outbound,54.3,
A0681,Meridian Systems,2022,2025-Q1,2024-08-05,2025-02-21,APAC,Financial Services,Platform,land,won,3,148000,444000,sales_outbound,24.8,
A0682,Northwind Dynamics Inc,2020,2025-Q1,2024-05-21,2025-01-15,APAC,Healthcare,Platform,land,won,5,118000,590000,partner,64.4,
A0683,BluePeak Labs Inc,2022,2025-Q1,2024-08-07,2025-01-28,EMEA,Healthcare,Platform,land,won,3,183000,549000,event,33,
A0684,Aurora Logic Inc,2021,2025-Q1,2024-12-01,2025-03-11,EMEA,Retail,Platform,land,won,4,33000,132000,inbound,41.1,
A0955,Granite Logic Inc,2022,2025-Q1,2024-09-09,2025-03-29,AMER,Technology,Analytics,land,lost,3,71000,213000,csm_expansion,55.4,Adoption — low usage or failed rollout
A0956,Vertex Cloud Inc,2020,2025-Q1,2024-08-20,2025-02-26,APAC,Financial Services,Security,land,lost,3,56000,168000,csm_expansion,50.9,Stakeholder — champion departed / reorg
A0957,Silverline Bridge Inc,2022,2025-Q1,2024-09-06,2025-03-01,APAC,Technology,Security,land,lost,3,125000,375000,event,65.1,Pricing — rejected renewal uplift
A0958,Granite Works,2021,2025-Q1,2024-09-04,2025-03-07,APAC,Retail,Analytics,land,lost,3,134000,402000,inbound,61.9,Procurement — vendor consolidation
A0959,Northwind Grid Inc,2022,2025-Q1,2024-07-26,2025-02-11,EMEA,Healthcare,Security,land,lost,3,24000,72000,inbound,54.9,Risk — security or compliance
A0960,Vertex Bridge,2022,2025-Q1,2024-09-27,2025-03-05,EMEA,Professional Services,Analytics,land,lost,3,64000,192000,inbound,33.8,Adoption — low usage or failed rollout
A0961,Silverline Grid Inc,2022,2025-Q1,2024-10-12,2025-03-23,AMER,Healthcare,Platform,land,lost,3,114000,342000,partner,46.9,Product — capability or roadmap gap
A0962,Cobalt Grid,2022,2025-Q1,2024-09-19,2025-01-25,EMEA,Financial Services,Analytics,land,lost,3,134000,402000,inbound,71.2,Competitor — won evaluation
A0963,Aurora Systems,2022,2025-Q1,2024-09-11,2025-02-19,EMEA,Healthcare,Security,land,lost,3,71000,213000,sales_outbound,59.9,Commercial — payment or term mismatch
A0964,Meridian Logic Inc,2022,2025-Q1,2024-09-14,2025-03-19,APAC,Retail,Security,land,lost,3,16000,48000,sales_outbound,55.1,Stakeholder — champion departed / reorg
A0965,Northwind Labs Inc,2022,2025-Q1,2024-08-11,2025-01-28,APAC,Healthcare,Platform,land,lost,3,14000,42000,inbound,66.3,Risk — security or compliance
A0966,Aurora Works Inc,2020,2025-Q1,2024-06-17,2025-02-27,APAC,Professional Services,Platform,land,lost,4,19000,76000,sales_outbound,44.8,Risk — security or compliance
A0967,Vertex Works,2022,2025-Q1,2024-07-07,2025-01-15,EMEA,Healthcare,Analytics,land,lost,3,200000,600000,event,72.8,Risk — security or compliance
A0968,Northwind Dynamics,2022,2025-Q1,2024-07-07,2025-03-02,EMEA,Technology,Analytics,land,lost,3,27000,81000,sales_outbound,59.7,Pricing — budget freeze or cuts
A0969,Cobalt Labs,2022,2025-Q1,2024-11-06,2025-03-08,APAC,Retail,Security,land,lost,3,43000,129000,sales_outbound,49.7,Risk — security or compliance
A0970,Parallel Cloud,2022,2025-Q1,2024-05-28,2025-02-21,APAC,Retail,Analytics,land,lost,4,95000,380000,inbound,40.7,Stakeholder — champion departed / reorg
A0971,Parallel Bridge,2023,2025-Q1,2024-11-30,2025-02-23,EMEA,Manufacturing,Analytics,land,lost,3,134000,402000,inbound,38.3,Pricing — lower competitive quote
A0972,Parallel Bridge Inc,2022,2025-Q1,2024-06-26,2025-01-16,AMER,Technology,Platform,land,lost,3,54000,162000,sales_outbound,60.5,Procurement — vendor consolidation
A0973,Vertex Works,2023,2025-Q1,2024-10-01,2025-03-09,APAC,Professional Services,Platform,land,lost,3,14000,42000,sales_outbound,54.7,Competitor — won evaluation
A0974,Silverline Works Inc,2022,2025-Q1,2025-02-03,2025-03-30,EMEA,Manufacturing,Analytics,land,lost,3,298000,894000,csm_expansion,55.3,Adoption — low usage or failed rollout
A0975,Cobalt Labs,2022,2025-Q1,2024-08-03,2025-02-02,APAC,Financial Services,Analytics,land,lost,3,13000,39000,partner,54.7,Pricing — budget freeze or cuts
A0976,Northwind Systems Inc,2022,2025-Q1,2024-09-01,2025-03-25,AMER,Technology,Platform,land,lost,3,106000,318000,inbound,49,Product — capability or roadmap gap
A0977,Northwind Cloud,2022,2025-Q1,2024-08-27,2025-01-06,AMER,Manufacturing,Analytics,land,lost,3,117000,351000,sales_outbound,63.4,Pricing — rejected renewal uplift
A0978,Parallel Bridge,2022,2025-Q1,2024-09-21,2025-02-20,EMEA,Technology,Analytics,land,lost,3,56000,168000,inbound,34.4,Pricing — budget freeze or cuts
A0979,Cobalt Cloud Inc,2022,2025-Q1,2024-08-23,2025-02-01,EMEA,Retail,Analytics,land,lost,3,41000,123000,inbound,55.1,Product — capability or roadmap gap
A0980,BluePeak Works Inc,2022,2025-Q1,2024-11-28,2025-03-29,EMEA,Financial Services,Analytics,land,lost,3,114000,342000,event,35.5,Pricing — rejected renewal uplift
