contact_id,account_id,account_name,role,region
C000120,A01226,Vertex Works Ltd,CFO,AMER
C000121,A01101,Cobalt Cloud Ltd,IT Director,AMER
C000122,A01101,Cobalt Cloud Ltd,Solutions Architect,AMER
C000123,A01101,Cobalt Cloud Ltd,VP Engineering,AMER
C000124,A00270,Silverline Systems,Head of Procurement,AMER
C000125,A00270,Silverline Systems,CFO,AMER
C000126,A00270,Silverline Systems,VP Operations,AMER
C000127,A01359,BluePeak Grid Ltd,IT Director,AMER
C000128,A01359,BluePeak Grid Ltd,VP Operations,AMER
C000129,A01359,BluePeak Grid Ltd,Solutions Architect,AMER
C000130,A01359,BluePeak Grid Ltd,CFO,AMER
C000131,A01359,BluePeak Grid Ltd,VP Engineering,AMER
C000132,A00808,Pinnacle Logic Ltd,CFO,AMER
C000133,A00808,Pinnacle Logic Ltd,VP Engineering,AMER
C000134,A00763,Aurora Works Ltd,CFO,AMER
C000135,A00763,Aurora Works Ltd,Head of Procurement,AMER
C000136,A00088,Northwind Bridge,IT Director,EMEA
C000137,A00088,Northwind Bridge,Head of Procurement,EMEA
C000138,A00088,Northwind Bridge,CFO,EMEA
C000139,A00088,Northwind Bridge,VP Operations,EMEA
C000140,A00088,Northwind Bridge,IT Director,EMEA
C000141,A00471,Silverline Point Inc,CFO,EMEA
C000142,A00471,Silverline Point Inc,CFO,EMEA
C000143,A00471,Silverline Point Inc,Solutions Architect,EMEA
C000144,A00471,Silverline Point Inc,IT Director,EMEA
C000145,A00471,Silverline Point Inc,VP Operations,EMEA
C000146,A01041,Pinnacle Point Ltd,IT Director,APAC
C000147,A01041,Pinnacle Point Ltd,Solutions Architect,APAC
C000148,A01041,Pinnacle Point Ltd,VP Engineering,APAC
C000149,A01041,Pinnacle Point Ltd,IT Director,APAC
C000150,A00310,Parallel Cloud Inc,IT Director,APAC
C000151,A00310,Parallel Cloud Inc,Solutions Architect,APAC
C000152,A00310,Parallel Cloud Inc,Solutions Architect,APAC
C000153,A00310,Parallel Cloud Inc,VP Engineering,APAC
C000154,A01883,Pinnacle Cloud,CFO,AMER
C000155,A01883,Pinnacle Cloud,Solutions Architect,AMER
C000156,A00456,Pinnacle Dynamics,VP Engineering,EMEA
C000157,A00456,Pinnacle Dynamics,Head of Procurement,EMEA
C000158,A01891,Granite Grid Ltd,CFO,EMEA
C000159,A01891,Granite Grid Ltd,Head of Procurement,EMEA
C000160,A01891,Granite Grid Ltd,CFO,EMEA
C000161,A00667,Silverline Dynamics,Head of Procurement,AMER
C000162,A00667,Silverline Dynamics,VP Operations,AMER
C000163,A00667,Silverline Dynamics,VP Engineering,AMER
C000164,A01827,Silverline Works Inc,CFO,EMEA
C000165,A01827,Silverline Works Inc,Head of Procurement,EMEA
C000166,A01827,Silverline Works Inc,Head of Procurement,EMEA
C000167,A00464,Granite Works Ltd,CFO,AMER
C000168,A00464,Granite Works Ltd,CFO,AMER
C000169,A00464,Granite Works Ltd,CFO,AMER
C000170,A00464,Granite Works Ltd,IT Director,AMER
C000171,A00464,Granite Works Ltd,IT Director,AMER
C000172,A00018,Vertex Labs Inc,VP Operations,EMEA
C000173,A00018,Vertex Labs Inc,CFO,EMEA
C000174,A00018,Vertex Labs Inc,VP Operations,EMEA
C000175,A01001,Parallel Point Ltd,Head of Procurement,AMER
C000176,A01001,Parallel Point Ltd,VP Engineering,AMER
C000177,A01001,Parallel Point Ltd,IT Director,AMER
C000178,A01001,Parallel Point Ltd,IT Director,AMER
C000179,A00496,Cobalt Stream Ltd,CFO,AMER
C000180,A00496,Cobalt Stream Ltd,Solutions Architect,AMER
C000181,A00286,Parallel Systems,Head of Procurement,EMEA
C000182,A00286,Parallel Systems,CFO,EMEA
C000183,A00286,Parallel Systems,VP Operations,EMEA
C000184,A00286,Parallel Systems,VP Operations,EMEA
C000185,A00286,Parallel Systems,VP Operations,EMEA
C000186,A01481,Vertex Logic,VP Engineering,EMEA
C000187,A01481,Vertex Logic,Solutions Architect,EMEA
C000188,A01481,Vertex Logic,Head of Procurement,EMEA
C000189,A01481,Vertex Logic,CFO,EMEA
C000190,A01481,Vertex Logic,IT Director,EMEA
C000191,A01454,Vertex Dynamics Ltd,IT Director,EMEA
C000192,A01454,Vertex Dynamics Ltd,IT Director,EMEA
C000193,A00435,BluePeak Grid Ltd,Solutions Architect,APAC
C000194,A00435,BluePeak Grid Ltd,CFO,APAC
C000195,A00435,BluePeak Grid Ltd,Solutions Architect,APAC
C000196,A00435,BluePeak Grid Ltd,Solutions Architect,APAC
C000197,A00435,BluePeak Grid Ltd,Head of Procurement,APAC
C000198,A00337,Vertex Labs Ltd,VP Operations,APAC
C000199,A00337,Vertex Labs Ltd,Solutions Architect,APAC
C000200,A00337,Vertex Labs Ltd,VP Engineering,APAC
C000201,A00337,Vertex Labs Ltd,VP Engineering,APAC
C000202,A00337,Vertex Labs Ltd,IT Director,APAC
C000203,A00064,Pinnacle Logic Inc,IT Director,EMEA
C000204,A00064,Pinnacle Logic Inc,CFO,EMEA
C000205,A00064,Pinnacle Logic Inc,Head of Procurement,EMEA
C000206,A01976,Vertex Point,CFO,EMEA
C000207,A01976,Vertex Point,Head of Procurement,EMEA
C000208,A00936,Vertex Systems Ltd,VP Operations,EMEA
C000209,A00936,Vertex Systems Ltd,VP Engineering,EMEA
C000210,A00936,Vertex Systems Ltd,Head of Procurement,EMEA
C000211,A00936,Vertex Systems Ltd,IT Director,EMEA
C000212,A00936,Vertex Systems Ltd,VP Operations,EMEA
C000213,A00770,Cobalt Dynamics,CFO,EMEA
C000214,A00770,Cobalt Dynamics,CFO,EMEA
C000215,A00770,Cobalt Dynamics,CFO,EMEA
C000216,A00423,Cobalt Works,Head of Procurement,APAC
C000217,A00423,Cobalt Works,VP Operations,APAC
C000218,A00423,Cobalt Works,VP Operations,APAC
C000219,A00423,Cobalt Works,IT Director,APAC
C000220,A01390,Vertex Grid Ltd,VP Operations,EMEA
C000221,A01390,Vertex Grid Ltd,VP Engineering,EMEA
C000222,A01390,Vertex Grid Ltd,VP Engineering,EMEA
C000223,A01390,Vertex Grid Ltd,Head of Procurement,EMEA
C000224,A01900,Northwind Point Inc,IT Director,APAC
C000225,A01900,Northwind Point Inc,Solutions Architect,APAC
C000226,A01900,Northwind Point Inc,Head of Procurement,APAC
C000227,A01900,Northwind Point Inc,VP Engineering,APAC
C000228,A01900,Northwind Point Inc,Head of Procurement,APAC
C000229,A01478,Vertex Cloud Ltd,Solutions Architect,AMER
C000230,A01478,Vertex Cloud Ltd,VP Engineering,AMER
C000231,A01478,Vertex Cloud Ltd,CFO,AMER
C000232,A00868,BluePeak Cloud Ltd,VP Engineering,AMER
C000233,A00868,BluePeak Cloud Ltd,Solutions Architect,AMER
C000234,A00868,BluePeak Cloud Ltd,IT Director,AMER
C000235,A00940,BluePeak Logic Ltd,CFO,APAC
C000236,A00940,BluePeak Logic Ltd,IT Director,APAC
C000237,A00940,BluePeak Logic Ltd,VP Engineering,APAC
C000238,A00940,BluePeak Logic Ltd,VP Operations,APAC
C000239,A01820,Silverline Dynamics Ltd,CFO,AMER
C000240,A01820,Silverline Dynamics Ltd,VP Operations,AMER
C000241,A01820,Silverline Dynamics Ltd,Head of Procurement,AMER
C000242,A01820,Silverline Dynamics Ltd,Solutions Architect,AMER
C000243,A00823,Granite Dynamics Ltd,IT Director,EMEA
C000244,A00823,Granite Dynamics Ltd,VP Operations,EMEA
C000245,A00823,Granite Dynamics Ltd,VP Engineering,EMEA
C000246,A00823,Granite Dynamics Ltd,Head of Procurement,EMEA
C000247,A00650,BluePeak Works,VP Engineering,APAC
C000248,A00650,BluePeak Works,VP Engineering,APAC
C000249,A00650,BluePeak Works,Solutions Architect,APAC
C000250,A01731,Vertex Dynamics Inc,CFO,EMEA
C000251,A01731,Vertex Dynamics Inc,VP Engineering,EMEA
C000252,A01731,Vertex Dynamics Inc,VP Engineering,EMEA
C000253,A01064,Parallel Logic Inc,CFO,AMER
C000254,A01064,Parallel Logic Inc,VP Engineering,AMER
C000255,A01994,Aurora Labs Inc,CFO,EMEA
C000256,A01994,Aurora Labs Inc,CFO,EMEA
C000257,A01994,Aurora Labs Inc,VP Operations,EMEA
C000258,A00484,Aurora Grid,IT Director,AMER
C000259,A00484,Aurora Grid,Head of Procurement,AMER
C000260,A00484,Aurora Grid,VP Engineering,AMER
C000261,A00484,Aurora Grid,Solutions Architect,AMER
C000262,A00484,Aurora Grid,VP Engineering,AMER
C000263,A00360,Pinnacle Bridge Ltd,CFO,AMER
C000264,A00360,Pinnacle Bridge Ltd,Solutions Architect,AMER
C000265,A00093,Pinnacle Logic Ltd,Head of Procurement,EMEA
C000266,A00093,Pinnacle Logic Ltd,VP Operations,EMEA
C000267,A01826,BluePeak Dynamics,CFO,EMEA
C000268,A01826,BluePeak Dynamics,Solutions Architect,EMEA
C000269,A01826,BluePeak Dynamics,CFO,EMEA
C000270,A00537,Meridian Cloud Inc,Head of Procurement,AMER
C000271,A00537,Meridian Cloud Inc,Head of Procurement,AMER
C000272,A00537,Meridian Cloud Inc,VP Engineering,AMER
C000273,A00537,Meridian Cloud Inc,Solutions Architect,AMER
C000274,A00551,Vertex Logic Ltd,VP Operations,EMEA
C000275,A00551,Vertex Logic Ltd,VP Operations,EMEA
C000276,A00551,Vertex Logic Ltd,IT Director,EMEA
C000277,A00551,Vertex Logic Ltd,Head of Procurement,EMEA
C000278,A00988,Vertex Cloud Ltd,VP Operations,APAC
C000279,A00988,Vertex Cloud Ltd,VP Engineering,APAC
C000280,A00988,Vertex Cloud Ltd,CFO,APAC
C000281,A01662,Vertex Systems,CFO,APAC
C000282,A01662,Vertex Systems,IT Director,APAC
C000283,A01662,Vertex Systems,Solutions Architect,APAC
C000284,A00413,Granite Logic Inc,IT Director,AMER
C000285,A00413,Granite Logic Inc,Head of Procurement,AMER
C000286,A00411,Meridian Labs Inc,Solutions Architect,AMER
C000287,A00411,Meridian Labs Inc,VP Operations,AMER
C000288,A00677,Silverline Logic Ltd,IT Director,EMEA
C000289,A00677,Silverline Logic Ltd,Head of Procurement,EMEA
C000290,A00677,Silverline Logic Ltd,VP Operations,EMEA
C000291,A01048,Northwind Point Ltd,VP Operations,EMEA
C000292,A01048,Northwind Point Ltd,VP Operations,EMEA
C000293,A00335,Aurora Works Inc,VP Engineering,AMER
C000294,A00335,Aurora Works Inc,Solutions Architect,AMER
C000295,A00335,Aurora Works Inc,VP Operations,AMER
C000296,A00073,Northwind Grid,VP Engineering,AMER
C000297,A00073,Northwind Grid,Head of Procurement,AMER
C000298,A00073,Northwind Grid,VP Operations,AMER
C000299,A00673,BluePeak Bridge,Head of Procurement,APAC
C000300,A00673,BluePeak Bridge,IT Director,APAC
C000301,A00673,BluePeak Bridge,VP Operations,APAC
C000302,A00673,BluePeak Bridge,CFO,APAC
C000303,A01929,Pinnacle Labs,IT Director,EMEA
C000304,A01929,Pinnacle Labs,VP Operations,EMEA
C000305,A01929,Pinnacle Labs,Solutions Architect,EMEA
C000306,A01995,Northwind Stream,IT Director,EMEA
C000307,A01995,Northwind Stream,Solutions Architect,EMEA
C000308,A01995,Northwind Stream,CFO,EMEA
C000309,A01230,Silverline Works Inc,CFO,AMER
C000310,A01230,Silverline Works Inc,Head of Procurement,AMER
C000311,A01230,Silverline Works Inc,CFO,AMER
C000312,A01230,Silverline Works Inc,Head of Procurement,AMER
C000313,A01936,Meridian Stream,Solutions Architect,APAC
C000314,A01936,Meridian Stream,Head of Procurement,APAC
C000315,A01936,Meridian Stream,IT Director,APAC
C000316,A01936,Meridian Stream,VP Engineering,APAC
C000317,A00119,Granite Stream,VP Engineering,AMER
C000318,A00119,Granite Stream,Head of Procurement,AMER
C000319,A01365,Vertex Bridge Inc,VP Engineering,EMEA
C000320,A01365,Vertex Bridge Inc,IT Director,EMEA
C000321,A00396,Cobalt Systems Inc,Solutions Architect,AMER
C000322,A00396,Cobalt Systems Inc,CFO,AMER
C000323,A00273,Vertex Works Ltd,CFO,AMER
C000324,A00273,Vertex Works Ltd,IT Director,AMER
C000325,A00973,Granite Systems Inc,CFO,AMER
C000326,A00973,Granite Systems Inc,VP Operations,AMER
C000327,A00408,Meridian Point Inc,Head of Procurement,AMER
C000328,A00408,Meridian Point Inc,VP Engineering,AMER
C000329,A00408,Meridian Point Inc,CFO,AMER
C000330,A00408,Meridian Point Inc,Solutions Architect,AMER
C000331,A01278,Parallel Labs,CFO,APAC
C000332,A01278,Parallel Labs,IT Director,APAC
C000333,A01278,Parallel Labs,CFO,APAC
C000334,A00418,Northwind Stream Inc,Head of Procurement,AMER
C000335,A00418,Northwind Stream Inc,VP Operations,AMER
C000336,A00418,Northwind Stream Inc,IT Director,AMER
C000337,A00771,Northwind Logic Ltd,Solutions Architect,AMER
C000338,A00771,Northwind Logic Ltd,IT Director,AMER
C000339,A00771,Northwind Logic Ltd,Head of Procurement,AMER
C000340,A00771,Northwind Logic Ltd,CFO,AMER
C000341,A01817,Northwind Cloud Inc,Solutions Architect,EMEA
C000342,A01817,Northwind Cloud Inc,VP Engineering,EMEA
C000343,A01604,Parallel Grid Ltd,VP Operations,EMEA
C000344,A01604,Parallel Grid Ltd,CFO,EMEA
C000345,A01604,Parallel Grid Ltd,Solutions Architect,EMEA
C000346,A01604,Parallel Grid Ltd,IT Director,EMEA
C000347,A01604,Parallel Grid Ltd,CFO,EMEA
C000348,A00766,Granite Cloud,Solutions Architect,EMEA
C000349,A00766,Granite Cloud,Solutions Architect,EMEA
C000350,A00766,Granite Cloud,VP Operations,EMEA
C000351,A00766,Granite Cloud,VP Operations,EMEA
C000352,A01443,Granite Systems Inc,IT Director,AMER
C000353,A01443,Granite Systems Inc,VP Operations,AMER
C000354,A01443,Granite Systems Inc,VP Engineering,AMER
C000355,A01428,Aurora Bridge Inc,VP Operations,AMER
C000356,A01428,Aurora Bridge Inc,Head of Procurement,AMER
C000357,A01428,Aurora Bridge Inc,VP Operations,AMER
C000358,A00318,BluePeak Dynamics Inc,IT Director,AMER
C000359,A00318,BluePeak Dynamics Inc,CFO,AMER
C000360,A00278,Northwind Dynamics Inc,IT Director,AMER
C000361,A00278,Northwind Dynamics Inc,Head of Procurement,AMER
C000362,A00278,Northwind Dynamics Inc,CFO,AMER
C000363,A01513,Pinnacle Dynamics Inc,Solutions Architect,AMER
C000364,A01513,Pinnacle Dynamics Inc,IT Director,AMER
C000365,A01250,Parallel Systems Inc,CFO,EMEA
C000366,A01250,Parallel Systems Inc,VP Operations,EMEA
C000367,A01250,Parallel Systems Inc,Head of Procurement,EMEA
C000368,A01250,Parallel Systems Inc,CFO,EMEA
C000369,A01120,Parallel Point Inc,CFO,AMER
C000370,A01120,Parallel Point Inc,IT Director,AMER
C000371,A01120,Parallel Point Inc,VP Engineering,AMER
C000372,A01120,Parallel Point Inc,VP Engineering,AMER
C000373,A01120,Parallel Point Inc,VP Operations,AMER
C000374,A01330,Aurora Dynamics Inc,VP Operations,AMER
C000375,A01330,Aurora Dynamics Inc,IT Director,AMER
C000376,A00661,Parallel Logic Ltd,Solutions Architect,AMER
C000377,A00661,Parallel Logic Ltd,VP Engineering,AMER
C000378,A00661,Parallel Logic Ltd,VP Operations,AMER
C000379,A01947,Meridian Stream Inc,Solutions Architect,AMER
C000380,A01947,Meridian Stream Inc,VP Engineering,AMER
C000381,A01947,Meridian Stream Inc,CFO,AMER
C000382,A01947,Meridian Stream Inc,VP Operations,AMER
C000383,A01130,Granite Systems,Head of Procurement,AMER
C000384,A01130,Granite Systems,IT Director,AMER
C000385,A01130,Granite Systems,IT Director,AMER
C000386,A01130,Granite Systems,VP Engineering,AMER
C000387,A00773,Northwind Grid,Solutions Architect,EMEA
C000388,A00773,Northwind Grid,IT Director,EMEA
C000389,A00778,Northwind Systems Inc,Head of Procurement,AMER
C000390,A00778,Northwind Systems Inc,IT Director,AMER
C000391,A00778,Northwind Systems Inc,Solutions Architect,AMER
C000392,A00778,Northwind Systems Inc,CFO,AMER
C000393,A01299,Pinnacle Cloud,IT Director,AMER
C000394,A01299,Pinnacle Cloud,IT Director,AMER
C000395,A01299,Pinnacle Cloud,Solutions Architect,AMER
C000396,A01299,Pinnacle Cloud,IT Director,AMER
C000397,A01019,Parallel Works Inc,VP Operations,APAC
C000398,A01019,Parallel Works Inc,VP Engineering,APAC
C000399,A01567,Cobalt Systems Inc,Solutions Architect,AMER
C000400,A01567,Cobalt Systems Inc,Head of Procurement,AMER
C000401,A01567,Cobalt Systems Inc,Solutions Architect,AMER
C000402,A01567,Cobalt Systems Inc,CFO,AMER
C000403,A01567,Cobalt Systems Inc,VP Operations,AMER
C000404,A00524,BluePeak Systems,Head of Procurement,AMER
C000405,A00524,BluePeak Systems,VP Engineering,AMER
C000406,A00524,BluePeak Systems,CFO,AMER
C000407,A00781,Pinnacle Labs Inc,IT Director,EMEA
C000408,A00781,Pinnacle Labs Inc,VP Engineering,EMEA
C000409,A00781,Pinnacle Labs Inc,Solutions Architect,EMEA
C000410,A01300,Northwind Systems,IT Director,EMEA
C000411,A01300,Northwind Systems,VP Engineering,EMEA
C000412,A01300,Northwind Systems,CFO,EMEA
C000413,A01628,Vertex Grid Inc,Head of Procurement,APAC
C000414,A01628,Vertex Grid Inc,CFO,APAC
C000415,A01628,Vertex Grid Inc,Solutions Architect,APAC
C000416,A00267,Meridian Dynamics Ltd,VP Engineering,AMER
C000417,A00267,Meridian Dynamics Ltd,Solutions Architect,AMER
C000418,A00267,Meridian Dynamics Ltd,Head of Procurement,AMER
C000419,A01647,Granite Grid Ltd,CFO,AMER
C000420,A01647,Granite Grid Ltd,Solutions Architect,AMER
C000421,A01647,Granite Grid Ltd,IT Director,AMER
C000422,A01647,Granite Grid Ltd,IT Director,AMER
C000423,A00750,Meridian Point Inc,IT Director,EMEA
C000424,A00750,Meridian Point Inc,Solutions Architect,EMEA
C000425,A00622,Cobalt Logic Inc,VP Operations,AMER
C000426,A00622,Cobalt Logic Inc,IT Director,AMER
C000427,A00622,Cobalt Logic Inc,Head of Procurement,AMER
C000428,A00622,Cobalt Logic Inc,VP Engineering,AMER
C000429,A01471,Cobalt Stream,IT Director,EMEA
C000430,A01471,Cobalt Stream,IT Director,EMEA
C000431,A01471,Cobalt Stream,VP Engineering,EMEA
C000432,A01471,Cobalt Stream,IT Director,EMEA
C000433,A00898,Aurora Grid,Solutions Architect,EMEA
C000434,A00898,Aurora Grid,Solutions Architect,EMEA
C000435,A00199,Northwind Grid Inc,IT Director,AMER
C000436,A00199,Northwind Grid Inc,CFO,AMER
C000437,A00199,Northwind Grid Inc,CFO,AMER
C000438,A00101,Meridian Point Ltd,Solutions Architect,AMER
C000439,A00101,Meridian Point Ltd,CFO,AMER
C000440,A00101,Meridian Point Ltd,CFO,AMER
C000441,A01017,Northwind Systems Ltd,IT Director,AMER
C000442,A01017,Northwind Systems Ltd,Solutions Architect,AMER
C000443,A01017,Northwind Systems Ltd,CFO,AMER
C000444,A00312,Aurora Bridge Inc,IT Director,EMEA
C000445,A00312,Aurora Bridge Inc,Head of Procurement,EMEA
C000446,A00904,Cobalt Labs,CFO,APAC
C000447,A00904,Cobalt Labs,VP Operations,APAC
C000448,A00904,Cobalt Labs,CFO,APAC
C000449,A00904,Cobalt Labs,Solutions Architect,APAC
C000450,A00575,Cobalt Works Inc,Head of Procurement,AMER
C000451,A00575,Cobalt Works Inc,VP Engineering,AMER
C000452,A00092,BluePeak Systems Inc,Head of Procurement,AMER
C000453,A00092,BluePeak Systems Inc,Solutions Architect,AMER
C000454,A00092,BluePeak Systems Inc,VP Engineering,AMER
C000455,A01629,Pinnacle Point,IT Director,AMER
C000456,A01629,Pinnacle Point,IT Director,AMER
C000457,A01629,Pinnacle Point,CFO,AMER
C000458,A01629,Pinnacle Point,VP Engineering,AMER
C000459,A01199,Pinnacle Cloud Inc,Solutions Architect,EMEA
C000460,A01199,Pinnacle Cloud Inc,Solutions Architect,EMEA
C000461,A01199,Pinnacle Cloud Inc,CFO,EMEA
C000462,A01015,Parallel Works Ltd,Head of Procurement,AMER
C000463,A01015,Parallel Works Ltd,VP Operations,AMER
C000464,A01015,Parallel Works Ltd,Solutions Architect,AMER
C000465,A00777,Granite Systems Inc,Head of Procurement,APAC
C000466,A00777,Granite Systems Inc,VP Engineering,APAC
C000467,A00777,Granite Systems Inc,VP Operations,APAC
C000468,A00777,Granite Systems Inc,Head of Procurement,APAC
C000469,A00022,Cobalt Works Ltd,Solutions Architect,AMER
C000470,A00022,Cobalt Works Ltd,Head of Procurement,AMER
C000471,A00459,Parallel Grid Inc,IT Director,AMER
C000472,A00459,Parallel Grid Inc,VP Engineering,AMER
C000473,A00459,Parallel Grid Inc,IT Director,AMER
C000474,A00459,Parallel Grid Inc,Solutions Architect,AMER
C000475,A00402,Silverline Bridge Inc,VP Engineering,AMER
C000476,A00402,Silverline Bridge Inc,Head of Procurement,AMER
C000477,A00239,Pinnacle Point,VP Operations,AMER
