account_id,account_name,region,industry,contract_term_years,last_deal_year,renewal_quarter,arr_usd_current
A0126,BluePeak Logic Inc,AMER,Professional Services,1,2024,2025-Q2,164000
A0127,Silverline Grid Inc,APAC,Technology,3,2022,2025-Q4,37000
A0128,Aurora Grid Inc,APAC,Healthcare,2,2023,2025-Q4,520000
A0129,Vertex Works Inc,EMEA,Financial Services,3,2022,2025-Q1,162000
A0130,Vertex Works Inc,APAC,Retail,3,2022,2025-Q1,182000
A0131,Silverline Systems,APAC,Professional Services,3,2022,2025-Q1,449000
A0132,Meridian Systems,EMEA,Retail,3,2023,2026-Q1,94000
A0133,Northwind Bridge,APAC,Healthcare,3,2022,2025-Q2,108000
A0134,Northwind Grid,EMEA,Financial Services,3,2022,2025-Q4,379000
A0135,Aurora Bridge Inc,APAC,Healthcare,3,2022,2025-Q4,337000
A0136,Cobalt Labs Inc,APAC,Professional Services,3,2022,2025-Q1,223000
A0137,BluePeak Labs,AMER,Professional Services,3,2022,2025-Q3,261000
A0138,Parallel Grid,AMER,Manufacturing,3,2022,2025-Q2,170000
A0139,Northwind Cloud,EMEA,Technology,4,2021,2025-Q2,247000
A0140,Northwind Grid,EMEA,Manufacturing,3,2022,2025-Q1,653000
A0141,BluePeak Works Inc,APAC,Healthcare,3,2022,2025-Q4,196000
A0142,Aurora Logic,EMEA,Manufacturing,3,2022,2025-Q4,116000
A0143,Vertex Cloud Inc,EMEA,Technology,2,2023,2025-Q4,632000
A0144,Meridian Bridge,APAC,Financial Services,5,2021,2026-Q1,324000
A0145,Aurora Works Inc,APAC,Professional Services,3,2022,2025-Q4,163000
A0146,Parallel Grid Inc,EMEA,Professional Services,3,2023,2026-Q1,83000
A0147,Vertex Bridge Inc,APAC,Manufacturing,3,2022,2025-Q2,547000
A0148,Northwind Grid,EMEA,Healthcare,3,2022,2025-Q1,0
A0149,Cobalt Dynamics Inc,AMER,Retail,3,2023,2026-Q1,111000
A0150,BluePeak Labs,AMER,Retail,3,2022,2025-Q3,622000
A0151,Vertex Dynamics,EMEA,Healthcare,3,2023,2026-Q1,0
A0152,Meridian Cloud,EMEA,Manufacturing,1,2025,2026-Q1,605000
A0153,Parallel Dynamics,EMEA,Healthcare,3,2022,2025-Q4,410000
A0154,Cobalt Systems,APAC,Technology,3,2023,2026-Q1,834000
A0155,Meridian Grid,EMEA,Manufacturing,3,2022,2025-Q3,609000
A0156,BluePeak Labs,AMER,Financial Services,3,2022,2025-Q4,544000
A0157,Silverline Systems Inc,EMEA,Professional Services,3,2022,2025-Q2,346000
A0158,Granite Bridge,AMER,Retail,2,2024,2026-Q1,223000
A0159,BluePeak Labs,APAC,Professional Services,4,2021,2025-Q2,309000
A0160,BluePeak Logic,AMER,Professional Services,3,2022,2025-Q2,710000
A0161,Aurora Cloud,APAC,Manufacturing,5,2020,2025-Q1,805000
A0162,Meridian Labs,APAC,Professional Services,2,2023,2025-Q2,0
A0163,Silverline Bridge Inc,EMEA,Professional Services,4,2021,2025-Q1,155000
A0164,Cobalt Logic Inc,AMER,Professional Services,3,2022,2025-Q3,514000
A0165,Pinnacle Logic Inc,AMER,Professional Services,3,2022,2025-Q4,121000
A0166,BluePeak Grid,AMER,Healthcare,5,2021,2026-Q1,0
A0167,BluePeak Grid,EMEA,Manufacturing,3,2022,2025-Q2,348000
A0168,Silverline Logic,EMEA,Manufacturing,3,2022,2025-Q3,259000
A0169,Vertex Works,AMER,Retail,3,2022,2025-Q1,449000
A0170,Aurora Systems Inc,AMER,Professional Services,3,2022,2025-Q3,41000
A0171,Pinnacle Bridge Inc,AMER,Manufacturing,5,2020,2025-Q2,75000
A0172,Granite Works Inc,EMEA,Technology,3,2022,2025-Q3,596000
A0173,Meridian Grid Inc,AMER,Retail,3,2022,2025-Q3,393000
A0174,Pinnacle Labs Inc,AMER,Retail,3,2022,2025-Q4,244000
A0175,Silverline Dynamics,APAC,Retail,3,2022,2025-Q1,876000
A0176,Vertex Bridge,APAC,Professional Services,3,2023,2026-Q1,144000
A0177,Silverline Labs,EMEA,Healthcare,3,2022,2025-Q2,916000
A0178,Parallel Cloud,AMER,Retail,3,2022,2025-Q2,55000
A0179,Cobalt Logic,APAC,Retail,2,2023,2025-Q1,672000
A0180,Meridian Grid,APAC,Technology,3,2022,2025-Q4,846000
A0181,Cobalt Logic Inc,EMEA,Healthcare,2,2023,2025-Q2,614000
A0182,BluePeak Cloud Inc,APAC,Healthcare,1,2024,2025-Q4,37000
A0183,Silverline Systems,APAC,Manufacturing,3,2022,2025-Q3,274000
A0184,Meridian Cloud Inc,AMER,Healthcare,3,2022,2025-Q1,284000
A0185,Meridian Cloud,APAC,Retail,3,2022,2025-Q4,682000
A0186,BluePeak Dynamics,AMER,Professional Services,3,2023,2026-Q1,52000
A0187,Pinnacle Bridge Inc,APAC,Professional Services,3,2022,2025-Q3,952000
A0188,Silverline Systems,APAC,Manufacturing,3,2022,2025-Q3,506000
A0189,Northwind Labs,EMEA,Financial Services,3,2022,2025-Q1,581000
A0190,Meridian Systems Inc,AMER,Healthcare,3,2023,2026-Q1,192000
A0191,Parallel Grid Inc,EMEA,Healthcare,3,2022,2025-Q1,192000
A0192,BluePeak Dynamics,EMEA,Manufacturing,4,2021,2025-Q1,520000
A0193,Pinnacle Labs,EMEA,Technology,5,2020,2025-Q3,50000
A0194,Silverline Logic,AMER,Healthcare,4,2021,2025-Q4,77000
A0195,Vertex Works Inc,EMEA,Manufacturing,3,2022,2025-Q3,78000
A0196,Vertex Cloud Inc,AMER,Healthcare,3,2022,2025-Q1,94000
A0197,Vertex Grid,EMEA,Manufacturing,3,2022,2025-Q4,494000
A0198,BluePeak Grid Inc,APAC,Retail,3,2022,2025-Q1,271000
A0199,Aurora Dynamics,EMEA,Healthcare,3,2023,2026-Q1,528000
A0200,BluePeak Dynamics,AMER,Manufacturing,3,2023,2026-Q1,109000
A0201,BluePeak Dynamics Inc,AMER,Retail,3,2022,2025-Q1,46000
A0202,Vertex Bridge,EMEA,Financial Services,3,2022,2025-Q2,493000
A0203,Silverline Systems,AMER,Technology,1,2025,2026-Q1,370000
A0204,Granite Logic,APAC,Technology,3,2023,2026-Q1,158000
A0205,BluePeak Cloud,APAC,Retail,3,2023,2026-Q1,391000
A0206,Aurora Systems Inc,AMER,Professional Services,5,2020,2025-Q1,359000
A0207,Vertex Logic Inc,EMEA,Professional Services,3,2022,2025-Q3,101000
A0208,Vertex Grid,APAC,Financial Services,3,2022,2025-Q3,0
A0209,Parallel Systems Inc,AMER,Manufacturing,5,2020,2025-Q4,171000
A0210,Meridian Bridge,AMER,Professional Services,3,2022,2025-Q3,237000
A0211,Aurora Dynamics,APAC,Retail,3,2023,2026-Q1,559000
A0212,Cobalt Systems Inc,EMEA,Healthcare,3,2022,2025-Q2,415000
A0213,Pinnacle Logic,EMEA,Retail,3,2023,2026-Q1,209000
A0214,Silverline Labs Inc,APAC,Financial Services,3,2022,2025-Q2,50000
A0215,Northwind Dynamics,EMEA,Financial Services,3,2023,2026-Q1,423000
A0216,Parallel Works,EMEA,Financial Services,3,2022,2025-Q4,751000
A0217,Pinnacle Labs Inc,AMER,Financial Services,3,2022,2025-Q4,104000
A0218,Granite Cloud Inc,AMER,Manufacturing,4,2021,2025-Q1,1023000
A0219,Silverline Systems,APAC,Manufacturing,3,2022,2025-Q2,30000
A0220,Silverline Grid,APAC,Manufacturing,3,2022,2025-Q2,170000
A0221,Vertex Labs,APAC,Healthcare,3,2022,2025-Q4,474000
A0222,Parallel Logic,AMER,Retail,3,2022,2025-Q3,78000
A0223,Silverline Cloud,EMEA,Professional Services,4,2021,2025-Q4,66000
A0224,Parallel Dynamics Inc,EMEA,Manufacturing,3,2022,2025-Q2,223000
A0225,Parallel Bridge,AMER,Financial Services,3,2022,2025-Q1,92000
A0226,Meridian Logic Inc,APAC,Retail,3,2022,2025-Q4,786000
A0227,Vertex Cloud,APAC,Healthcare,3,2022,2025-Q3,0
A0228,Vertex Logic,APAC,Technology,2,2023,2025-Q1,0
A0229,Vertex Systems,APAC,Technology,1,2024,2025-Q3,569000
A0230,BluePeak Systems,EMEA,Financial Services,3,2022,2025-Q2,105000
A0231,Pinnacle Systems,APAC,Technology,3,2022,2025-Q2,96000
A0232,Vertex Works Inc,AMER,Healthcare,5,2021,2026-Q1,36000
A0233,Parallel Systems,AMER,Healthcare,3,2023,2026-Q1,556000
A0234,Vertex Logic,APAC,Manufacturing,3,2022,2025-Q4,406000
A0235,Pinnacle Works Inc,AMER,Financial Services,4,2021,2025-Q1,0
A0236,Granite Bridge,AMER,Healthcare,3,2022,2025-Q4,330000
A0237,Granite Systems,APAC,Financial Services,3,2022,2025-Q3,159000
A0238,Meridian Logic Inc,AMER,Retail,3,2022,2025-Q4,580000
A0239,Granite Systems Inc,AMER,Healthcare,2,2023,2025-Q4,0
A0240,Parallel Labs Inc,AMER,Healthcare,3,2022,2025-Q1,152000
A0241,BluePeak Grid Inc,AMER,Retail,5,2021,2026-Q1,78000
A0242,Meridian Logic,AMER,Professional Services,3,2023,2026-Q1,196000
A0243,Silverline Bridge,AMER,Financial Services,3,2023,2026-Q1,50000
A0244,Parallel Cloud Inc,APAC,Healthcare,3,2022,2025-Q1,99000
A0245,Silverline Bridge Inc,AMER,Retail,3,2022,2025-Q2,229000
A0246,Cobalt Systems,EMEA,Retail,4,2022,2026-Q1,329000
A0247,Northwind Dynamics,APAC,Financial Services,3,2022,2025-Q2,789000
A0248,Aurora Bridge,EMEA,Professional Services,3,2022,2025-Q1,157000
A0249,Northwind Cloud Inc,APAC,Professional Services,3,2022,2025-Q3,280000
A0250,Northwind Grid,AMER,Financial Services,3,2022,2025-Q3,721000
A0251,Vertex Systems,EMEA,Manufacturing,3,2022,2025-Q1,54000
A0252,Parallel Grid Inc,APAC,Manufacturing,3,2022,2025-Q3,95000
A0253,Granite Grid,APAC,Healthcare,4,2021,2025-Q4,643000
A0254,Parallel Cloud Inc,APAC,Professional Services,5,2020,2025-Q3,207000
A0255,Pinnacle Dynamics Inc,APAC,Professional Services,3,2023,2026-Q1,45000
A0256,Granite Logic,APAC,Financial Services,2,2023,2025-Q3,680000
A0257,Cobalt Cloud Inc,AMER,Financial Services,3,2023,2026-Q1,268000
A0258,Silverline Dynamics,AMER,Technology,3,2022,2025-Q4,0
A0259,Silverline Grid Inc,APAC,Healthcare,3,2022,2025-Q4,102000
A0260,BluePeak Logic,APAC,Retail,3,2022,2025-Q3,436000
A0261,Cobalt Logic,AMER,Technology,3,2023,2026-Q1,936000
A0262,Silverline Labs,APAC,Healthcare,3,2022,2025-Q4,27000
A0263,Pinnacle Cloud,APAC,Financial Services,3,2023,2026-Q1,831000
A0264,Vertex Systems,APAC,Retail,3,2022,2025-Q3,324000
A0265,Aurora Works Inc,AMER,Retail,3,2022,2025-Q4,127000
A0266,Aurora Cloud,AMER,Professional Services,2,2024,2026-Q1,236000
A0267,Meridian Bridge Inc,APAC,Technology,3,2022,2025-Q4,24000
A0268,Silverline Cloud,AMER,Technology,3,2022,2025-Q1,131000
A0269,Aurora Labs Inc,EMEA,Financial Services,5,2020,2025-Q4,43000
A0270,Silverline Bridge Inc,AMER,Retail,3,2022,2025-Q1,197000
A0271,Cobalt Labs,EMEA,Retail,3,2022,2025-Q2,72000
A0272,Aurora Bridge Inc,APAC,Financial Services,3,2022,2025-Q3,0
A0273,Cobalt Logic Inc,AMER,Manufacturing,3,2022,2025-Q3,212000
A0274,Granite Works,EMEA,Retail,1,2025,2026-Q1,236000
A0275,Parallel Cloud Inc,APAC,Professional Services,3,2023,2026-Q1,25000
A0276,Cobalt Grid,EMEA,Manufacturing,3,2022,2025-Q4,86000
A0277,Pinnacle Dynamics,AMER,Healthcare,3,2022,2025-Q2,1165000
A0278,Pinnacle Systems,AMER,Retail,3,2023,2026-Q1,0
A0279,Parallel Works Inc,EMEA,Healthcare,3,2023,2026-Q1,394000
A0280,Granite Works,AMER,Financial Services,3,2022,2025-Q1,230000
A0281,Parallel Logic,APAC,Technology,3,2023,2026-Q1,403000
A0282,Vertex Works Inc,APAC,Financial Services,1,2025,2026-Q1,174000
A0283,Granite Labs,APAC,Manufacturing,3,2022,2025-Q3,252000
A0284,Silverline Works Inc,APAC,Professional Services,1,2024,2025-Q1,0
A0285,Meridian Labs,APAC,Technology,3,2022,2025-Q2,23000
A0286,Parallel Systems Inc,AMER,Healthcare,3,2022,2025-Q4,535000
A0287,Meridian Dynamics Inc,AMER,Professional Services,3,2022,2025-Q3,441000
A0288,Meridian Grid Inc,APAC,Professional Services,3,2023,2026-Q1,0
A0289,Silverline Bridge Inc,EMEA,Technology,3,2023,2026-Q1,197000
A0290,Pinnacle Dynamics,AMER,Retail,1,2024,2025-Q2,401000
A0291,Aurora Cloud,EMEA,Technology,3,2023,2026-Q1,337000
A0292,Northwind Systems Inc,AMER,Healthcare,3,2023,2026-Q1,185000
A0293,Silverline Grid Inc,EMEA,Retail,1,2024,2025-Q2,503000
A0294,Meridian Bridge Inc,APAC,Professional Services,3,2022,2025-Q1,584000
A0295,Silverline Works Inc,EMEA,Retail,3,2022,2025-Q3,365000
A0296,BluePeak Cloud Inc,EMEA,Financial Services,2,2023,2025-Q1,0
A0297,Silverline Works Inc,APAC,Healthcare,3,2022,2025-Q1,119000
A0298,Pinnacle Labs,AMER,Financial Services,3,2022,2025-Q2,120000
A0299,Granite Cloud,EMEA,Manufacturing,3,2022,2025-Q4,192000
A0300,Silverline Bridge Inc,AMER,Financial Services,3,2023,2026-Q1,162000
A0301,BluePeak Logic,AMER,Healthcare,3,2022,2025-Q3,290000
A0302,BluePeak Grid Inc,AMER,Healthcare,3,2022,2025-Q3,172000
A0303,Granite Dynamics,AMER,Manufacturing,4,2021,2025-Q2,0
A0304,Aurora Cloud,APAC,Financial Services,3,2022,2025-Q3,450000
A0305,Aurora Cloud,APAC,Professional Services,4,2021,2025-Q4,105000
A0306,Parallel Dynamics Inc,AMER,Financial Services,3,2022,2025-Q4,764000
A0307,Vertex Systems,EMEA,Healthcare,3,2023,2026-Q1,818000
A0308,Aurora Systems,APAC,Manufacturing,3,2022,2025-Q3,242000
A0309,Vertex Systems Inc,EMEA,Financial Services,3,2022,2025-Q4,397000
A0310,Pinnacle Labs,AMER,Financial Services,3,2023,2026-Q1,799000
A0311,Silverline Systems Inc,AMER,Retail,3,2022,2025-Q4,35000
A0312,Aurora Grid,EMEA,Healthcare,2,2023,2025-Q4,259000
A0313,BluePeak Logic Inc,AMER,Manufacturing,3,2022,2025-Q4,448000
A0314,Parallel Labs,AMER,Financial Services,3,2023,2026-Q1,277000
A0315,Silverline Logic Inc,APAC,Manufacturing,3,2023,2026-Q1,355000
A0316,Parallel Grid,EMEA,Healthcare,3,2023,2026-Q1,495000
A0317,Meridian Works,EMEA,Healthcare,3,2022,2025-Q4,81000
A0318,Vertex Grid,EMEA,Technology,3,2022,2025-Q3,546000
A0319,Northwind Labs Inc,AMER,Professional Services,3,2023,2026-Q1,549000
A0320,Meridian Works Inc,APAC,Financial Services,3,2022,2025-Q1,428000
A0321,BluePeak Bridge,AMER,Technology,3,2022,2025-Q4,181000
A0322,BluePeak Systems,EMEA,Retail,3,2022,2025-Q3,777000
A0323,Cobalt Bridge Inc,APAC,Financial Services,3,2022,2025-Q1,496000
A0324,BluePeak Systems,EMEA,Healthcare,3,2022,2025-Q3,577000
A0325,Parallel Logic,EMEA,Technology,3,2023,2026-Q1,385000
A0326,Silverline Works Inc,AMER,Retail,2,2023,2025-Q2,706000
A0327,Northwind Systems,AMER,Professional Services,3,2022,2025-Q1,1118000
A0328,Cobalt Systems,EMEA,Professional Services,3,2022,2025-Q3,52000
A0329,Cobalt Systems,AMER,Professional Services,3,2022,2025-Q3,479000
A0330,Pinnacle Dynamics,EMEA,Professional Services,3,2022,2025-Q3,842000
A0331,Aurora Works Inc,AMER,Manufacturing,3,2022,2025-Q3,939000
A0332,Pinnacle Grid,EMEA,Professional Services,3,2022,2025-Q3,791000
A0333,Meridian Labs Inc,EMEA,Technology,3,2022,2025-Q4,882000
A0334,Vertex Bridge,AMER,Manufacturing,3,2022,2025-Q2,123000
A0335,Parallel Labs,APAC,Retail,3,2023,2026-Q1,479000
A0336,Vertex Dynamics Inc,AMER,Technology,3,2022,2025-Q3,83000
A0337,Northwind Bridge,EMEA,Manufacturing,4,2022,2026-Q1,53000
A0338,Silverline Cloud Inc,AMER,Financial Services,3,2023,2026-Q1,83000
A0339,BluePeak Systems,AMER,Professional Services,3,2022,2025-Q3,135000
A0340,Meridian Labs Inc,EMEA,Manufacturing,3,2022,2025-Q3,495000
A0341,BluePeak Bridge,AMER,Financial Services,3,2023,2026-Q1,459000
A0342,Silverline Grid Inc,AMER,Technology,3,2022,2025-Q1,221000
A0343,Meridian Grid Inc,EMEA,Financial Services,3,2022,2025-Q1,502000
A0344,Northwind Cloud,EMEA,Professional Services,3,2022,2025-Q2,361000
A0345,Silverline Bridge,AMER,Financial Services,5,2020,2025-Q1,152000
A0346,Silverline Works,EMEA,Healthcare,3,2022,2025-Q3,274000
A0347,Silverline Dynamics,EMEA,Retail,3,2022,2025-Q3,498000
A0348,Meridian Works,AMER,Technology,3,2022,2025-Q2,114000
A0349,Silverline Bridge Inc,EMEA,Technology,3,2022,2025-Q1,1386000
A0350,Aurora Labs,APAC,Technology,5,2020,2025-Q2,1019000
A0351,Vertex Logic,AMER,Professional Services,3,2023,2026-Q1,134000
A0352,Parallel Grid,APAC,Financial Services,3,2022,2025-Q1,195000
A0353,Silverline Bridge,AMER,Retail,3,2023,2026-Q1,127000
A0354,Aurora Dynamics,APAC,Professional Services,3,2023,2026-Q1,732000
A0355,Aurora Cloud Inc,EMEA,Retail,4,2021,2025-Q2,571000
A0356,Northwind Dynamics,EMEA,Manufacturing,3,2022,2025-Q4,661000
A0357,Granite Labs Inc,APAC,Healthcare,3,2022,2025-Q4,42000
A0358,Silverline Cloud,EMEA,Manufacturing,3,2023,2026-Q1,248000
A0359,Northwind Cloud,APAC,Professional Services,3,2023,2026-Q1,0
A0360,Aurora Systems,APAC,Manufacturing,3,2022,2025-Q2,36000
